Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0109300027221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0109300027221000002;Подача заявок;Содержаниедороги тротуаров в г.Инсар;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ИНСАР ИНСАРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМОРДОВИЯ;19.01.2021;800 000,00 ₽;;;;;;;;;;;;;;
№ 0809500000320002750;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0809500000320002750;Подача заявок;"выполнение работ по ремонту автомобильнойдороги(""с. Большое Игнатово - с. Атяшево"" - с. Старое Чамзино) по ул. Восточная в с. Старое Чамзино Большеигнатовского муниципального района РеспубликиМордовия";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИМОРДОВИЯ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";30.12.2020;4 068 470,00 ₽;;;;;;;;;;;;;;
№ 0309200000220000208;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000208;Работа комиссии;Капитальный ремонт объекта: Автомобильнаядорогаг. Саранск -с. Большие Березники - с. Дубенки на участках км 77+870 – км 80+105, км 80+133 - км 84+300 в Дубенском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";29.12.2020;160 511 778,00 ₽;;;;;;;;;;;;;;
№ 0309200000220000207;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000207;Работа комиссии;Подготовка проектной документации на ремонт и экспертиза проекта по объекту: Автомобильнаядорогар. п. Торбеево - п.Красноармейский - с.МордовскиеЮнки на участке км 5+800 – км 14+200 в Торбеевском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";28.12.2020;1 573 706,00 ₽;;;;;;;;;;;;;;
№ 0309200000220000206;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000206;Определение поставщика завершено;"Ремонт объекта: Автомобильнаядорога""г. Краснослободск - г. Темников"" - с. Селищи на участке км 0+000 - км 1+940 в Краснослободском муниципальном районе РеспубликиМордовия";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";26.12.2020;20 547 848,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309200000220000206;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ МОРДОВИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНДУСТРИЯ""";1 - Победитель;18 904 020,16;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРДОВСТРОЙТЕХНИКА""";2 - Второй номер;19 006 759,40;;;;;;
№ 0309200000220000205;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000205;Определение поставщика завершено;"Ремонт  объекта: Автомобильнаядорога"" г. Саранск-р.п. Ромоданово-с. Большое Игнатово""-с. Пушкино  на участке км 0+038-км 1+400 в Ромодановском муниципальном районе РеспубликиМордовия";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";25.12.2020;16 224 547,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309200000220000205;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ МОРДОВИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕР""";1 - Победитель;15 007 705,90;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЧАЛКОВСКАЯ ДСПМК""";2 - Второй номер;15 088 828,64;;;;;;
№ 0309200000220000204;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000204;Определение поставщика завершено;Капитальный ремонт объекта:Автодорогар.п.Атяшево – с.Дубенки на участке км 20+520 – км 21+400 в Дубенском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";25.12.2020;34 253 876,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309200000220000204;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ МОРДОВИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАПО-ТРАНС""";1 - Победитель;29 945 732,62;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОРДОВАВТОДОР""";2 - Второй номер;32 343 504,62;;;1328903647;;;
№ 0309200000220000203;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000203;Определение поставщика завершено;Подготовка проектной документации на капитальный ремонт и экспертиза проекта по объекту: Автомобильнаядорогаа/д «Урал» – с.Каргашино – с.Анаево – с.Вадовские Селищи на участках км 10+000 –  км 16+000, км 16+000 - км 19+600 в Зубово-Полянском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";24.12.2020;3 341 958,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309200000220000203;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ МОРДОВИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАЧАЛО КООРДИНАТ""";1 - Победитель;2 339 371,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙПРОЕКТ""";2 - Второй номер;2 363 290,21;;;;;;
№ 0348100006020000064;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000064;Определение поставщика завершено;"Оказание услуг по содержанию автомобильнойдорогиобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, подъезд к г. Саранск, км 78+370 - км 89+020, РеспубликаМордовия.Оказание услуг по содержанию искусственных дорожных сооружений на автомобильнойдорогеобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, подъезд к г. Саранск, км 78+370 - км 89+020, РеспубликаМордовия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;33 683 342,39 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0348100006020000064;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;Принято решение о признании только одного участника закупки, подавшего заявку на участие в электронном аукционе, его участником. По результатам рассмотрения заявки единственного участника, данная заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. (п. 3 ч.2 ст. 71);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИЖЕГОРОДАВТОДОР""";;33 683 342,39;;;;;;
№ 0309200000220000202;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000202;Определение поставщика завершено;Ремонт объекта: Автомобильнаядорогаподъезд к центральной усадьбе с. Большая Поляна на участке км 0+025 - км 1+205 в Кадошкинском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";23.12.2020;9 321 998,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309200000220000202;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ МОРДОВИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕР""";1 - Победитель;8 622 848,15;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРДОВСТРОЙТЕХНИКА""";2 - Второй номер;8 669 458,14;;;5837053631;;;
