Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0132300017421000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300017421000003;Подача заявок;Зимнее содержаниедорогв р. п. Ветлужский, с. Дмитриевское и близлежащих населенных пунктов.;АДМИНИСТРАЦИЯ КРАСНОБАКОВСКОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;22.01.2021;600 000,00 ₽;;;;;;;;;;;;;;
№ 0132300034221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300034221000001;Подача заявок;Выполнение работ по зимнему содержанию (очистка от снега) автомобильныхдорогсо шлаковым и грунтовым покрытием в городе КулебакиНижегородскойобласти;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД КУЛЕБАКИНИЖЕГОРОДСКОЙОБЛАСТИ;22.01.2021;480 759,00 ₽;;;;;;;;;;;;;;
№ 0132300002821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300002821000001;Подача заявок;Оказание услуг по расчисткедорогот снега на территории р.п.Вача;АДМИНИСТРАЦИЯ ВАЧСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;19.01.2021;500 000,00 ₽;;;;;;;;;;;;;;
№ 0332300365521000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0332300365521000006;Подача заявок;Оказание услуг по содержаниюдорог, площадей, тротуаров и набережной в городе ВетлугеНижегородскойобласти в 2021 г.;АДМИНИСТРАЦИЯ ГОРОДА ВЕТЛУГИ ВЕТЛУЖСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;19.01.2021;1 600 000,00 ₽;;;;;;;;;;;;;;
№ 0332300176221000003;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0332300176221000003;Подача заявок;Текущее содержаниедорог;АДМИНИСТРАЦИЯ ТОНКИНСКОГО  МУНИЦИПАЛЬНОГО  РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;15.01.2021;300 000,00 ₽;;;;;;;;;;;;;;
№ 32109885148;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109885148;Закупка завершена;"Оказание услуг страхования имущества юридических лиц объекта: ""Канатнаядорогагондольного типа между городами Нижний Новгород - Бор""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖЕГОРОДСКИЕКАНАТНЫЕДОРОГИ""";12.01.2021;600 000,00 ₽;;;;;;;;;;;;;;
№ 32109879664;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109879664;Подача заявок;...  М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по ...  – км 454,Нижегородскаяобласть (от пересечения с автомобильнойдорогойфедерального значения ...  – Саратов» до пересечения с автомобильнойдорогойрегионального значения 22К-0162 «Работки ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;306 516 490,00 ₽;;;;;;;;;;;;;;
№ 32109879548;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109879548;Подача заявок;...  М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по ...  347, Владимирская,Нижегородскаяобласти (от пересечения с автомобильнойдорогойрегионального значения ...  «Волга» до пересечения с автомобильнойдорогойфедерального значения Р-158 «Нижний ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;352 336 620,00 ₽;;;;;;;;;;;;;;
№ 32109879063;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109879063;Подача заявок;...  М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по ...  586,Нижегородскаяобласть, Чувашская Республика (от пересечения с автомобильнойдорогойрегионального ...  – Порецкое» до пересечения с автомобильнойдорогойфедерального значения A-151 «Цивильск ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;370 006 220,00 ₽;;;;;;;;;;;;;;
№ 32009875776;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875776;Закупка завершена;Выполнение работ по содержанию автомобильныхдороги элементов обустройства автомобильныхдорог(ручная уборка) на территории Автозаводского, Ленинского, Московского, Советского иНижегородскогорайонов г. Н. Новгорода;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА НИЖНЕГО НОВГОРОДА ""РЕМОНТ И ЭКСПЛУАТАЦИЯДОРОГ""";31.12.2020;20 069 780,00 ₽;;;;;;;;;;;;;;
