Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0172300008021000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172300008021000003;Подача заявок;Ремонт покрытий проездов, въездов и пешеходных дорожек на внутриквартальных территориях города Колпино;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАГОРОДА КОЛПИНО;20.01.2021;1 000 000,00 ₽;;;;;;;;;;;;;;
№ 0172300003821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172300003821000001;Подача заявок;Выполнение работ по благоустройству территории;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНОГО ОКРУГА УРИЦК;20.01.2021;25 005 351,14 ₽;;;;;;;;;;;;;;
№ 32109906321;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109906321;Подача заявок;Выполнение пусконаладочных работ с сопутствующим монтажом в ИТП, по адресу:Санкт-Петербург, дорогана Петро-Славянку, д. 2, корп. 3.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЖИЛКОМСЕРВИС № 2 КОЛПИНСКОГО РАЙОНА""";20.01.2021;233 330,00 ₽;;;;;;;;;;;;;;
№ 32109905899;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109905899;Подача заявок;Выполнение пусконаладочных работ с сопутствующим монтажом в ИТП, по адресу:Санкт-Петербург, дорогана Петро-Славянку, д. 2;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС №1 КОЛПИНСКОГО РАЙОНА""";20.01.2021;233 330,00 ₽;;;;;;;;;;;;;;
№ 0172300009621000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0172300009621000001;Подача заявок;"Выполнение работ по комплексному благоустройству внутриквартальной территории Внутригородского муниципального образованияСанкт-ПетербургаМуниципальный округ Большая Охта (включая  поставку элементов благоустройства); ремонту покрытий на внутриквартальных территориях и проведению санитарных рубок";МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНЫЙ ОКРУГ БОЛЬШАЯ ОХТА;19.01.2021;33 481 128,80 ₽;;;;;;;;;;;;;;
№ 32009875231;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875231;Подача заявок;Открытый конкурс среди субъектов малого и среднего предпринимательства в электронной форме № 833/ОКЭ-ЦДПО/20 на право заключения договора оказания услуг по комплексной уборке пассажирских обустройств Октябрьской дирекции пассажирских обустройств;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";31.12.2020;;;;;;;;;;;;;;;
№ 0172300008720000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172300008720000015;Определение поставщика завершено;выполнение работ по благоустройству территории округа в 2021 г.;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНОГО ОКРУГА КОНСТАНТИНОВСКОЕ;30.12.2020;18 347 569,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0172300008720000015;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ САНКТ-ПЕТЕРБУРГА МУНИЦИПАЛЬНОГО ОКРУГА КОНСТАНТИНОВСКОЕ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРСАНД""";;18 347 569,00;;;7839477414;;;
№ 0372200290020000274;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372200290020000274;Определение поставщика завершено;Оказание услуг по сопровождению и поддержке в актуальном состоянии программного комплекса и баз данных справочно-нормативной системы «NormaCS» Строительство автомобильныхдорог.Версия MAX.;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОСТОТРЕСТ""";30.12.2020;292 184,04 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0372200290020000274;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОСТОТРЕСТ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НТПЦ""";;292 184,04;;;;;;
№ 32009873079;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009873079;Закупка завершена;Выполнение работ по содержанию автомобильныхдорогрегионального значения в Калининском районеСанкт-Петербурга, включенных в Перечни автомобильныхдорогобщего и необщего пользования регионального значения вСанкт Петербурге, во втором полугодии 2020 года и первом полугодии 2021 года для обеспечения государственных нуждСанкт-Петербурга;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";30.12.2020;8 273 179,11 ₽;;;;;;;;;;;;;;
№ 32009871966;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009871966;Закупка завершена;Выполнение работ по содержанию автомобильныхдорогрегионального значения в  Калининском районеСанкт-Петербурга, включенных в Перечни автомобильныхдорогобщего и необщего пользования регионального значения вСанкт Петербурге, во втором полугодии 2020 года и первом полугодии 2021 года для обеспечения государственных нуждСанкт-Петербурга.;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";30.12.2020;9 998 801,92 ₽;;;;;;;;;;;;;;
