Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0355100004521000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0355100004521000002;Подача заявок;Проведение строительного контроля при осуществлении капитального ремонта автомобильнойдорогиР-158 Нижний Новгород-Арзамас-Саранск-Исса-Пенза-Саратов на участке км 464+910- км 474+830, Пензенская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""БОЛЬШАЯ ВОЛГА"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";27.01.2021;17 273 220,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000003;Подача заявок;"Ремонт объекта: Автомобильнаядорога""г.Саранск- с. Сурское - г. Ульяновск"" - р. п. Комсомольский на участке км 2+317 - км 3+800 в Чамзинском муниципальном районе Республики Мордовия";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИ МОРДОВИЯ""";26.01.2021;25 474 100,00 ₽;;;;;;;;;;;;;;
№ 0109300021321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0109300021321000001;Подача заявок;Капитальный ремонт дворовой территории многоквартирного дома № 2 по ул. Гагарина г.Саранскав рамках реализации муниципальной программы «Формирование современной городской среды в городском округеСаранскв 2018-2024 годах»;АДМИНИСТРАЦИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДСКОГО ОКРУГАСАРАНСК;25.01.2021;345 354,00 ₽;;;;;;;;;;;;;;
№ 0860400000321000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0860400000321000002;Подача заявок;"Выполнение работ по объекту: ""Устройство защитных слоев на автомобильнойдорогеР-158 НижнийН овгород-Арзамас-Саранск-Исса-Пенза-Саратов на участке км 552+830 – км 566+605, Саратовская область, Устройство защитных слоев на автомобильнойдорогеР-158 Нижний Новгород-Арзамас-Саранск-Исса-Пенза-Саратов на участке км 516+100 – км 529+400, Саратовская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;203 292 903,00 ₽;;;;;;;;;;;;;;
№ 32109879664;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109879664;Подача заявок;...  М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по ...  с автомобильнойдорогойфедерального значения Р-158 «Нижний Новгород – Арзамас –Саранск– Исса ...  – Пенза – Саратов» до пересечения с автомобильнойдорогойрегионального ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;306 516 490,00 ₽;;;;;;;;;;;;;;
№ 32109879548;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109879548;Подача заявок;...  М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по ...  (от пересечения с автомобильнойдорогойрегионального значения 17К-2 «Муром ...  с автомобильнойдорогойфедерального значения Р-158 «Нижний Новгород – Арзамас –Саранск– Исса ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;352 336 620,00 ₽;;;;;;;;;;;;;;
№ 0309200000220000208;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000208;Определение поставщика завершено;Капитальный ремонт объекта: Автомобильнаядорогаг.Саранск-с. Большие Березники - с. Дубенки на участках км 77+870 – км 80+105, км 80+133 - км 84+300 в Дубенском муниципальном районе Республики Мордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИ МОРДОВИЯ""";29.12.2020;160 511 778,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309200000220000208;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ МОРДОВИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАПО-ТРАНС""";1 - Победитель;142 052 923,53;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАНДЕМ""";2 - Второй номер;142 855 482,42;;;1328903647;;;
№ 0309200000220000205;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000220000205;Определение поставщика завершено;"Ремонт  объекта: Автомобильнаядорога"" г.Саранск-р.п. Ромоданово-с. Большое Игнатово""-с. Пушкино  на участке км 0+038-км 1+400 в Ромодановском муниципальном районе Республики Мордовия";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИ МОРДОВИЯ""";25.12.2020;16 224 547,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309200000220000205;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ МОРДОВИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕР""";1 - Победитель;15 007 705,90;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЧАЛКОВСКАЯ ДСПМК""";2 - Второй номер;15 088 828,64;;;5837053631;;;
№ 0309300012320000183;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309300012320000183;Определение поставщика завершено;Организация дорожного движения на ул. Ленина в рп. Николаевка (ООТ Николаевка);"КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГАСАРАНСК""ДИРЕКЦИЯ КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА""";25.12.2020;1 252 505,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309300012320000183;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА САРАНСК ""ДИРЕКЦИЯ КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА""";;;;;;;;;;;;
№ 0348100006020000064;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000064;Подача заявок;"Оказание услуг по содержанию автомобильнойдорогиобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, подъезд к г.Саранск, км 78+370 - км 89+020, Республика Мордовия. Оказание услуг по содержанию искусственных дорожных сооружений на автомобильнойдорогеобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, подъезд к г.Саранск, км 78+370 - км 89+020, Республика Мордовия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;33 683 342,39 ₽;;;;;;;;;;;;;;
