Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 32109921273;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109921273;Подача заявок;Запрос ценовых предложений на право заключения договора выполнения работ по изготовлению щитовой продукции для котельной п. ВерхнеднепровскийДорогобужскийрайон;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМОЛЕНСКАЯРЕГИОНАЛЬНАЯ ТЕПЛОЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ ""СМОЛЕНСКРЕГИОНТЕПЛОЭНЕРГО""";25.01.2021;3 543 487,20 ₽;;;;;;;;;;;;;;
№ 32109920440;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109920440;Закупка завершена;Аренда транспортного средства с экипажем;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";25.01.2021;337 500,00 ₽;;;;;;;;;;;;;;
№ 32109915633;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109915633;Подача заявок;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 8/ЗКТЭ-ДЖВ/21 на право заключения договора оказания услуг по вывозу и утилизации ртутных люминесцентных и ультрафиолетовых бактерицидных ламп на вокзалах Московской региональной дирекции железнодорожных вокзалов (вокзалы Белорусский, Казанский, Киевский, Павелецкий, Рижский, Савеловский, Ярославский, Брянск-Орловский, Калуга-1, Курск, Орел, Рязань-1,2,Смоленск, Тула).;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";22.01.2021;1 023 514,80 ₽;;;;;;;;;;;;;;
№ 0163300024921000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300024921000002;Подача заявок;"Услуги по благоустройству и содержанию автомобильныхдорогобщего пользования местного значения муниципального образования ""Монастырщинский район""Смоленскойобласти";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МОНАСТЫРЩИНСКИЙ РАЙОН""СМОЛЕНСКОЙОБЛАСТИ";21.01.2021;599 996,72 ₽;;;;;;;;;;;;;;
№ 0163300024921000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300024921000001;Подача заявок;Услуги по благоустройству и содержанию автомобильныхдорогна территории п. МонастырщинаСмоленскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МОНАСТЫРЩИНСКИЙ РАЙОН""СМОЛЕНСКОЙОБЛАСТИ";21.01.2021;599 999,37 ₽;;;;;;;;;;;;;;
№ 0163300002521000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300002521000001;Работа комиссии;Благоустройство дворовых территорий;АДМИНИСТРАЦИЯ ВЕРХНЕДНЕПРОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯДОРОГОБУЖСКОГОРАЙОНАСМОЛЕНСКОЙОБЛАСТИ;18.01.2021;5 694 001,00 ₽;;;;;;;;;;;;;;
№ 32109895426;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109895426;Закупка завершена;Аренда транспортного средства без экипажа;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";15.01.2021;370 000,00 ₽;;;;;;;;;;;;;;
№ 32109895380;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109895380;Закупка завершена;Аренда транспортного средства без экипажа;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";15.01.2021;370 000,00 ₽;;;;;;;;;;;;;;
№ 32109895336;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109895336;Закупка завершена;Аренда транспортного средства без экипажа;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";15.01.2021;370 000,00 ₽;;;;;;;;;;;;;;
№ 32109895301;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109895301;Закупка завершена;Аренда транспортного средства без экипажа;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";15.01.2021;280 000,00 ₽;;;;;;;;;;;;;;
№ 0163300005821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300005821000001;Определение поставщика отменено;Выполнение работ по содержаниюдорог, тротуаров и сооружений на них на территории Шумячского городского поселения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ШУМЯЧСКИЙ РАЙОН""СМОЛЕНСКОЙОБЛАСТИ";15.01.2021;1 500 000,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008965;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008965;Определение поставщика завершено;(1843-аэф/у) Оказание услуг по ремонту и техническому обслуживанию автомобилей КамАЗ, МАЗ, ЗиЛ;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;25 000 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0163200000320008965;"СМОЛЕНСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХ ДОРОГ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНОЕ ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ 67""";1 - Победитель;527 064 787,74;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БТС""";2 - Второй номер;530 421 888,31;;;6732145164;;;
№ 32009871840;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009871840;Закупка завершена;Поставка пескосоляной смеси;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";30.12.2020;248 900,00 ₽;;;;;;;;;;;;;;
№ 32009871808;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009871808;Закупка завершена;Аренда транспортного средства с экипажем;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";30.12.2020;337 500,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008948;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008948;Определение поставщика завершено;-(4782-аэф/т) Поставка компонентов для производства битумных эмульсий;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;2 850 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0163200000320008948;"СМОЛЕНСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХ ДОРОГ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАЛЛАДА РЕСУРС""";1 - Победитель;403 650,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСНАБ""";2 - Второй номер;406 375,00;;;7603063596;;;
