Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0321500001721000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321500001721000003;Подача заявок;"Выполнение работ по  техническому обслуживанию ( в т.ч. ремонт)  автономного освещения  на  автомобильныхдорогобщего пользования регионального или межмуниципального значения и сооружений на них в Ипатовском районеСтавропольскогокрая  для нужд Ипатовского филиала ГБУ СК ""Стававтодор""";"ИПАТОВСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯСТАВРОПОЛЬСКОГОКРАЯ ""СТАВАВТОДОР"" (ИПАТОВСКИЙ ФИЛИАЛ ГБУ СК ""СТАВАТОДОР"")";27.01.2021;2 802 303,00 ₽;;;;;;;;;;;;;;
№ 0321500001621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321500001621000001;Подача заявок;"Выполнение научно - исследовательских работ по составлению отчета ""Оценка воздействия и определение ущерба водным биологическим ресурсам и среде их обитания к проектной документации по объектам реконструкции (ремонт) мостовых переходов автомобильныхдорогчерез водные объекты на территорииСтавропольскогокрая""";"ФИЛИАЛ ""КРАЙАВТОМОСТ"" ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯСТАВРОПОЛЬСКОГОКРАЯ ""СТАВАВТОДОР"" (ФИЛИАЛ ""КРАЙАВТОМОСТ"" ГБУ СК ""СТАВАВТОДОР"")";27.01.2021;1 797 920,00 ₽;;;;;;;;;;;;;;
№ 0121600025921000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600025921000001;Подача заявок;Устройство беговой дорожки на стадионе поселка Новокумского Левокумского районаСтавропольскогокрая;НОВОКУМСКИЙ ТЕРРИТОРИАЛЬНЫЙ ОТДЕЛ АДМИНИСТРАЦИИ ЛЕВОКУМСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;26.01.2021;932 353,20 ₽;;;;;;;;;;;;;;
№ 0121600018321000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600018321000008;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения и сооружений на них в Андроповском районеСтавропольскогокрая;АДМИНИСТРАЦИЯ АНДРОПОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;26.01.2021;5 911 312,00 ₽;;;;;;;;;;;;;;
№ 0121600018321000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600018321000006;Подача заявок;Ремонт пешеходной дорожки по ул. Шоссейная, ул. Школьная с. Водораздел;АДМИНИСТРАЦИЯ АНДРОПОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;25.01.2021;2 767 778,00 ₽;;;;;;;;;;;;;;
№ 0821500000521000003;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0821500000521000003;Подача заявок;Оказание услуг по обязательному страхованию гражданской ответственности владельцев транспортных средств;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕСТАВРОПОЛЬСКОГОКРАЯ ""ДИРЕКЦИЯ АВТОМОБИЛЬНЫХДОРОГ""";25.01.2021;214 980,48 ₽;;;;;;;;;;;;;;
№ 0321100019421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321100019421000001;Подача заявок;"...  слоёв на автомобильнойдорогеР-217 ""Кавказ""автомобильнаядорогаМ-4 ""Дон ...  289+000,Ставропольскийкрай. Устройство защитных слоёв на автомобильнойдорогеР ... -217 ""Кавказ"" автомобильнаядорогаМ-4 ""Дон ...  357+700,Ставропольскийкрай. Устройство защитных слоев на автомобильнойдорогеА ... Устройство защитных слоев на автомобильнойдорогеА-164 ""Транскам"" Карджин - Алагир ...  Устройство защитных слоев наавтомобильнойдорогеА-158 Прохладный -Баксан - Эльбрус ...  слоев наавтомобильнойдорогеР-217""Кавказ"" автомобильнаядорогаМ-4 ""Дон ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАВКАЗ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;418 882 220,00 ₽;;;;;;;;;;;;;;
№ 0821500000521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0821500000521000002;Подача заявок;Оказание услуг по сервисному обслуживанию (калибровке и поверке) комплексов измерительных передвижной дорожной лаборатории;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕСТАВРОПОЛЬСКОГОКРАЯ ""ДИРЕКЦИЯ АВТОМОБИЛЬНЫХДОРОГ""";22.01.2021;289 036,00 ₽;;;;;;;;;;;;;;
№ 0821500000521000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0821500000521000001;Подача заявок;Абонентское обслуживание оборудования систем мониторинга ГЛОНАСС/GPS;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕСТАВРОПОЛЬСКОГОКРАЯ ""ДИРЕКЦИЯ АВТОМОБИЛЬНЫХДОРОГ""";22.01.2021;96 000,00 ₽;;;;;;;;;;;;;;
№ 0121600026621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600026621000001;Подача заявок;Укрепление обочин на автомобильнойдорогепо ул.Энгельса, ул.Ленина, установка светофора Т7 ул.Пушкина в с.Величаевском;ВЕЛИЧАЕВСКИЙ ТЕРРИТОРИАЛЬНЫЙ ОТДЕЛ АДМИНИСТРАЦИИ ЛЕВОКУМСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;22.01.2021;1 204 675,20 ₽;;;;;;;;;;;;;;
