Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0311200024921000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0311200024921000017;Подача заявок;"Выполнение работ по капитальному ремонту автомобильнойдороги""Чистополь – Нижнекамск"" – Нижнекамск, участок км 1+200 – км 2+436 в Нижнекамском муниципальном районе РеспубликиТатарстан";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";27.01.2021;64 500 000,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000016;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0311200024921000016;Подача заявок;Выполнение работ по программе, направленной на ремонт автомобильныхдорогрегионального значения РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";27.01.2021;112 468 862,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000015;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311200024921000015;Подача заявок;Выполнение  проектно-изыскательских работ по ремонтудорогобщего пользования РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";27.01.2021;11 299 415,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000014;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311200024921000014;Подача заявок;Выполнение проектно-изыскательских работ по строительствуавтодорогобщего пользования РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";27.01.2021;8 504 980,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000013;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311200024921000013;Подача заявок;Выполнение  проектно-изыскательских работ по капитальному ремонтудорогобщего пользования РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";27.01.2021;14 052 395,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000012;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311200024921000012;Подача заявок;Выполнение  проектно-изыскательских работ по ремонтуавтодорогиБазарные Матаки – Мамыково, км 43+000 – км 51+100 в Нурлатском  муниципальном районе РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";27.01.2021;4 050 000,00 ₽;;;;;;;;;;;;;;
№ 32109926450;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109926450;Подача заявок;Выполнение работ по устройству монолитного прикромочного лотка на объекте «РеконструкцияавтодорогиЗаинск – Сухарево, км 23+022 – км 28+600 в Нижнекамском муниципальном районе РеспубликиТатарстан» в соответствии с условиями договора, ведомостью объемов работ (Приложение № 1 к договору субподряда), рабочей документацией, утвержденной ГКУ «Главтатдортранс»;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТАВТОДОР""";26.01.2021;7 880 509,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000001;Подача заявок;Устройство защитных слоев на автомобильнойдорогеР-239 Казань - Оренбург - Акбулак - граница с Республикой Казахстан на участке км 94+000- км 116+000, РеспубликаТатарстан;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.01.2021;189 450 002,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000011;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311200024921000011;Подача заявок;Выполнение проектно-изыскательских работ по объекту: «Ремонт моста через реку Шимяковка на автомобильнойдороге«Ташлы-Ковали − Сосновка − поселок ж.-д.разъезд Бирюли» − Кирилловка», км 0+610 в Высокогорском муниципальном районе РеспубликиТатарстан».;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";26.01.2021;3 347 249,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000010;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311200024921000010;Подача заявок;Выполнение  проектно-изыскательских работ по капитальному ремонтудорогобщего пользования РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";26.01.2021;11 071 752,00 ₽;;;;;;;;;;;;;;
