Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0171200001921000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171200001921000008;Подача заявок;Частичный ремонт автомобильныхдорогобщего пользования на территории гп. Ростов (ул. Северная, ул. Рабочая, ул. К. Маркса, ул. Моравского, ул. Ленинская, ул. Фрунзе, проезд к д.с. «Золотая рыбка», проезд между 1 и 2 МКР, Окружной проезд,Ярославскоешоссе, пл. Привокзальная, пл. Колхозная);ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗАЯРОСЛАВСКОЙОБЛАСТИ;27.01.2021;14 703 388,80 ₽;;;;;;;;;;;;;;
№ 0371200001921000001;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0371200001921000001;Подача заявок;"Оказание услуг по обеспечению функционирования комплексов измерения скорости движения транспортных средств ""Арена"" на автомобильныхдорогах Ярославскойобласти";"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕЯРОСЛАВСКОЙОБЛАСТИ ""ЯРОСЛАВСКАЯОБЛАСТНАЯ ДОРОЖНАЯ СЛУЖБА""";27.01.2021;450 000,00 ₽;;;;;;;;;;;;;;
№ 0348100042421000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100042421000005;Подача заявок;"Выполнение работ по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство слоев износа на автомобильнойдорогеМ-8 ""Холмогоры"" Москва -Ярославль- Вологда - Архангельск на участке км 16+600 - км 20+200 (лево 1,2,3 полосы), Московская область; Устройство слоев износа на автомобильнойдорогеМ-8 ""Холмогоры"" Москва -Ярославль- Вологда - Архангельск на участке км 16+600 - км 20+200 (право 1,2,3 полосы), Московская область (лот 5)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.01.2021;125 972 220,81 ₽;;;;;;;;;;;;;;
№ 32109920975;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109920975;Подача заявок;Оказание услуг по ремонту и техническому обслуживанию автомобилей с заменой запасных частей для нужд филиала ФГП ВО ЖДТ России на Северной железнойдорогев г.Ярославль;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";25.01.2021;300 357,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000002;Подача заявок;"Ремонт мостачерез реку Печегда на км 181+319 автомобильнойдорогиМ-8 ""Холмогоры""Москва -Ярославль- Вологда - Архангельск,Ярославскаяобласть";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";25.01.2021;86 147 784,00 ₽;;;;;;;;;;;;;;
№ 32109915633;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109915633;Подача заявок;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 8/ЗКТЭ-ДЖВ/21 на право заключения договора оказания услуг по вывозу и утилизации ртутных люминесцентных и ультрафиолетовых бактерицидных ламп на вокзалах Московской региональной дирекции железнодорожных вокзалов (вокзалы Белорусский, Казанский, Киевский, Павелецкий, Рижский, Савеловский,Ярославский, Брянск-Орловский, Калуга-1, Курск, Орел, Рязань-1,2, Смоленск, Тула).;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";22.01.2021;1 023 514,80 ₽;;;;;;;;;;;;;;
№ 0171300012721000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171300012721000001;Подача заявок;Выполнение работ по зимнему содержанию автомобильныхдорогобщего пользования местного значения в границах и вне границ населенных пунктов на территории сельского поселения Некрасовское, Некрасовского района,Ярославскойобласти;АДМИНИСТРАЦИЯ НЕКРАСОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЯРОСЛАВСКОЙОБЛАСТИ;20.01.2021;4 095 086,09 ₽;;;;;;;;;;;;;;
№ 0348100006020000065;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000065;Подача заявок;"...  на сети автомобильныхдорогобщего пользования федерального значения:автомобильнаядорогаМ-7 ... +000 - км 32+239; автомобильнаядорогаМ-7 ""Волга"" Москва - Владимир ...  20+660; автомобильнаядорогаР-132 ""Золотое кольцо""Ярославль- Кострома - Иваново - Владимир ...  - Калуга - Вязьма - Ржев - Тверь - Углич -Ярославльна участке км 177+080 ... , Владимирская область; автомобильнаядорогаР-132 ""Золотое кольцо""Ярославль- Кострома - Иваново - Владимир ...  - Калуга - Вязьма - Ржев - Тверь - Углич -Ярославль, подъезд к Усадьбе Черневых ( ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;51 739 634,32 ₽;;;;;;;;;;;;;;
№ 32009875041;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875041;Работа комиссии;Запрос котировок в электронной форме № 4705/ЗКТЭ-СЕВ/20 на право заключения договора оказания услуг по проведению дератизации и дезинсекции(Ярославская, Вологодская, Сольвычегодская, Сосногорская дистанции гражданских сооружений);"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";31.12.2020;2 615 730,24 ₽;;;;;;;;;;;;;;
№ 0171200001920002733;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171200001920002733;Подача заявок;Ремонт участков автомобильнойдорогиТутаев-Шопша в Тутаевском и Гаврилов-Ямском муниципальных районахЯрославскойобласти (2 этап, 3 этап);ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗАЯРОСЛАВСКОЙОБЛАСТИ;30.12.2020;534 869 920,80 ₽;;;;;;;;;;;;;;
