№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 0176200005521000214;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000214;Подача заявок;Ремонт автомобильнойдорогиПодъезд к а. Афипсип на км 1+000 - км 1+658 в границах МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;5;;;;;;;;;;;;;;
№ 0176200005521000204;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000204;Подача заявок;Ремонт автомобильнойдорогиподъезд к ст. Гиагинской от автомобильнойдорогиМайкоп - Гиагинская - Псебай - Зеленчукская - Карачаевск на км 2+800 - 3+800 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000203;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000203;Подача заявок;Ремонт автомобильнойдорогиКрасногвардейское - Адамий - Чумаков на участках км 7+400 - 11+800, км 17+204 - 19+204 МО «Красногвардейский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;9;;;;;;;;;;;;;;
№ 0176200005521000202;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000202;Подача заявок;Ремонт автомобильнойдорогиподъезд к с. Унароково на км 3+364 - 3+964 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;5;;;;;;;;;;;;;;
№ 0176200005521000200;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000200;Подача заявок;Ремонт автомобильнойдорогиПонежукай - Пшикуйхабль на км 0+054 - 2+364 МО «Теучежский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;2;;;;;;;;;;;;;;
№ 0176200005521000199;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000199;Подача заявок;Ремонт автомобильнойдорогиХанская - Белореченск на км 3+000 - 4+000 МО «Город Майкоп» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000198;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000198;Подача заявок;Ремонт автомобильнойдорогиподъезд к пгт. Энем (участок №1) на км 0+819 - 2+446 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;2;;;;;;;;;;;;;;
№ 0176200005521000196;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000196;Подача заявок;Ремонт автомобильнойдорогиЭнем - Новобжегокай на км 1+420 - 2+607 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000195;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000195;Подача заявок;Ремонт автомобильнойдорогиподъезд к а. Псейтук на км 0+970 - 1+881 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;8;;;;;;;;;;;;;;
№ 0176200005521000193;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000193;Подача заявок;Ремонт автомобильнойдорогиСуповский - Отрадный на участках км 0+025 - 1+146, км 1+158 - 2+701 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;2;;;;;;;;;;;;;;
№ 0176200005521000191;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000191;Подача заявок;Ремонт автомобильнойдорогиПонежукай - Городской - Габукай на км 10+400 - 12+400 МО «Теучежский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000189;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000189;Подача заявок;Ремонт автомобильнойдорогиподъезд к х. Дъякову на участках км 0+500 - 1+000, км 3+000 - 4+500 МО «Майкопский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;2;;;;;;;;;;;;;;
№ 0176200005521000188;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000188;Подача заявок;Ремонт автомобильнойдорогиподъезд к с. Георгиевскому на км 2+680 - 4+395 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000185;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000185;Подача заявок;Ремонт автомобильнойдорогиМайкоп - Туапсе на участках км 12+800 - 16+479, км 22+500 - 23+500 МО «Майкопский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;5;;;;;;;;;;;;;;
№ 0176200005521000182;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000182;Подача заявок;Ремонт автомобильнойдорогиподъезд к х. Свободный Труд на км 2+000 - 3+400 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000181;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000181;Подача заявок;Ремонт автомобильнойдорогиГиагинская - Штурбино на км 6+500 - 8+500 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000180;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000180;Подача заявок;Ремонт автомобильнойдорогиКраснооктябрьский - Курджипская - Дагестанская на участках км 5+900 - 7+500, км 14+200 - 15+600 МО «Майкопский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;3;;;;;;;;;;;;;;
№ 0176200005521000179;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000179;Подача заявок;Ремонт автомобильнойдорогиТахтамукай - Козет - Новый - Яблоновский на участках км 5+686 - 7+493, км 10+295 - 11+000 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;2;;;;;;;;;;;;;;
№ 0176200005521000176;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000176;Подача заявок;Ремонт автомобильнойдорогиХакуринохабль - Пшизов на км 10+000 - 12+000 МО «Шовгеновский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000175;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000175;Подача заявок;Ремонт автомобильнойдорогиподъезд к а. Хакуринохабль на км 0+000 - 3+810 МО «Шовгеновский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;4;;;;;;;;;;;;;;
№ 0176200005521000174;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000174;Подача заявок;Ремонт автомобильнойдорогиподъезд к х. Колхозному на км 0+000 - 1+000 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;9;;;;;;;;;;;;;;
№ 0176200005521000172;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000172;Подача заявок;Ремонт автомобильнойдорогиКрасное - Ассоколай на км 2+600 - 5+100 МО «Теучежский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;2;;;;;;;;;;;;;;
№ 0176200005521000171;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000171;Подача заявок;Ремонт автомобильнойдорогиМайкоп - Гиагинская - Псебай - Зеленчукская - Карачаевск на участках км 90+830 - 92+026, км 104+500 - 105+971 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;3;;;;;;;;;;;;;;
№ 0176200005521000170;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000170;Подача заявок;Ремонт автомобильнойдорогиподъезд к а. Блечепсин на км 0+000 - 1+474 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;1;;;;;;;;;;;;;;
№ 0176200005521000167;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000167;Подача заявок;Ремонт автомобильнойдорогиКошехабль - Соколов на км 9+737 - 10+747 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;9;;;;;;;;;;;;;;
№ 0176200005521000166;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000166;Подача заявок;Ремонт автомобильнойдорогиподъезд к х. Косинову на км 7+000 - 10+987 МО «Город Майкоп» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;3;;;;;;;;;;;;;;
№ 0176200005521000165;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000165;Подача заявок;Ремонт автомобильнойдорогиСергиевское - Тамбовский - Фарсовый на км 5+900 - 8+000 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;2;;;;;;;;;;;;;;
№ 0176300006721000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176300006721000020;Подача заявок;Выполнение работ по локальному ремонту автомобильныхдорогв г.Адыгейск;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАДЫГЕЙСК""";02.03.2021;2;;;;;;;;;;;;;;
№ 0318100051221000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000007;Определение поставщика завершено;"Выполнение подрядных работ по объекту: ""Ремонт моста через р. Камла на км 18+561 автомобильнойдорогиА-160 Майкоп - Бжедугхабль -Адыгейск- Усть-Лабинск - Кореновск (направление Бжедугхабль -Адыгейск), РеспубликаАдыгея"" (Завершение работ)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.03.2021;4;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100051221000007;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;;;;;;;;;;;
№ 0176300003021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176300003021000001;Подача заявок;Реконструкция подъезднойавтодорогиот Республиканской автомобильнойдороги«г.Белореченск-ст.Гиагинская-п.Дружба в границах МО «Гиагинский район» РеспубликаАдыгея» к зданию МБДОО «Детский сад №14 Теремок ст.Дондуковской;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНДУКОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";02.03.2021;1;;;;;;;;;;;;;;
№ 0318100051221000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000006;Подача заявок;Оказание услуг по содержанию транспортной развязки на км 103 автомобильнойдорогиподъезд к городу Майкоп автомобильнойдорогиР-217 «Кавказ» автомобильнаядорогаМ-4 «Дон» - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой, РеспубликаАдыгея;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.03.2021;8;;;;;;;;;;;;;;
№ 0176300002021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176300002021000001;Подача заявок;Реконструкция подъездной автомобильнойдорогик заводу переработки сельхозпродукции в п. Новый Гиагинского района РеспубликиАдыгея;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АЙРЮМОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";01.03.2021;3;;;;;;;;;;;;;;
