№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0376300000121000067;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0376300000121000067;Подача заявок;Выполнение работ по ремонту автомобильныхдорогв г.МайкопеРеспублики Адыгея;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДМАЙКОП""";01.04.2021;193 445 890,00 ;;;;;;;;;;;;;;
№ 0318100051221000017;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100051221000017;Подача заявок;Выполнение работ по проведению приемочной диагностики вводного участка, законченного строительством объекта: «Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Устройство укрепительных сооружений на автомобильнойдорогеА-159 подъезднаядорогаот г.Майкопак Кавказскому государственному биосферному заповеднику на участке км 42+950 – км 43+000, км 56+300 – км 56+400, Республика Адыгея».;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;371 292,50 ;;;;;;;;;;;;;;
№ 0318100051221000014;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100051221000014;Подача заявок;"...  ремонтом объектов: «Ремонт автомобильнойдорогиА-160Майкоп- Бжедугхабль - Адыгейск - Усть-Лабинск ...  край». «Ремонт автомобильнойдорогиР-217 ""Кавказ"" автомобильнаядорогаМ-4 ""Дон ... , Краснодарский край». «Ремонт автомобильнойдорогиА-160Майкоп- Бжедугхабль - Адыгейск - Усть-Лабинск ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.03.2021;1 985 175,00 ;;;;;;;;;;;;;;
№ 0376300000121000060;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0376300000121000060;Определение поставщика завершено;Выполнение работ по ремонту автомобильнойдорогипо ул. Привокзальная от ж/д №153 до ж/д№173 в г.МайкопеРеспублики Адыгея;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДМАЙКОП""";22.03.2021;10 631 903,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0376300000121000060;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""БЛАГОУСТРОЙСТВО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД МАЙКОП""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗОБЪЕКТ*""";;1 - Победитель;9 777 777,00;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ БАК-СТРОЙ;2 - Второй номер;9 835 728,48;;;;;
№ 0818500000821001273;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0818500000821001273;Подача заявок;Устройство и содержание электроосвещения на объекте: «Автомобильнаядорогаг.Майкоп- г. Туапсе, км 63+690 - км 65+195, км 65+235 - км 68+720 в Апшеронском районе»;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";17.03.2021;49 801 331,73 ;;;;;;;;;;;;;;
№ 0318100051221000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000012;Определение поставщика завершено;"Выполнение подрядных работ по объекту: ""Ремонт моста через р. Камла на км 18+561 автомобильнойдорогиА-160Майкоп- Бжедугхабль - Адыгейск - Усть-Лабинск - Кореновск (направление Бжедугхабль - Адыгейск), Республика Адыгея"" (Завершение работ)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";16.03.2021;41 282 366,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100051221000012;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ №4""";;41 282 366,00;;;;;
№ 0318100051221000010;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100051221000010;Подача заявок;Выполнение проектно-изыскательных работ по объекту: «Ремонт моста через р. Желобная на км 85+950 А-159 подъезднаядорогаот г.Майкопак Кавказскому государственному биосферному заповеднику, Республика Адыгея»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";16.03.2021;1 266 150,00 ;;;;;;;;;;;;;;
№ 0118300013321000318;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0118300013321000318;Определение поставщика завершено;"Ремонт тротуарной дорожки по ул. Партизана Лангового: от дома № 29 до дома № 27; 6 м у дома № 25; от ул. Белорусской до дома № 5 ул. Лангового; по ул.Майкопскойот ул. Лангового до ул. Шиллеровской";АДМИНИСТРАЦИЯ  МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОВОРОССИЙСК;12.03.2021;174 358,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0118300013321000318;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО РАЗВИТИЮ И РЕКОНСТРУКЦИИ АВТОМОБИЛЬНЫХ ДОРОГ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОВОРОССИЙСК";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШЕЛБИ""";;1 - Победитель;164 768,31;Ротаренко А. П.;2 - Второй номер;165 640,10;;;;;
№ 0818500000821001185;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0818500000821001185;Подача заявок;"Устройство электроосвещения на объекте: ""Автомобильнаядорогаг.Майкоп- г.Туапсе, км 125+850 - км 126+520 в Туапсинском районе""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";12.03.2021;5 066 100,00 ;;;;;;;;;;;;;;
№ 0818500000821001177;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0818500000821001177;Подача заявок;"Устройство электроосвещения на объекте: ""Автомобильнаядорогаг.Майкоп- г.Туапсе, км 87+695 - км 91+567 в Туапсинском районе""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";12.03.2021;19 640 868,00 ;;;;;;;;;;;;;;
