№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 0348300380721000075;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348300380721000075;Подача заявок;"Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения на территории Пушкинского городского округа Московской области (с.п. Ельдигинское отавтодороги""Москва-Архангельск"" до д.Матюшино; п.Софрино, ул.Крайня; п.Правдинский, ул.Герцена: п.Ашукино, проезд ул.Степная-ул.Полевая).";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПУШКИНСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ ""ТЕНДЕРНЫЙ КОМИТЕТ""";02.03.2021;6 066 670,24 ₽;;;;;;;;;;;;;;
№ 32110036807;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110036807;Подача заявок;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 457/ЗКТЭ-ЦТ/21 на право заключения договоров оказания услуг по сбору, транспортировке и обезвреживанию/утилизации отходов производства и потребления;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";26.02.2021;;;;;;;;;;;;;;;
№ 32110035051;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110035051;Подача заявок;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 434/ЗКТЭ-СЕВ/21 на право заключения договора оказания услуг по техническому обслуживанию и текущему ремонту автомобилейАрхангельскогоучастка;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";26.02.2021;624 000,00 ₽;;;;;;;;;;;;;;
№ 0830300000421000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0830300000421000015;Подача заявок;Ремонт проезда и дворовой территории многоквартирного дома по адресу: г. Сокол, ул.Архангельская, д. 39;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СОКОЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ""МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ""";26.02.2021;2 665 929,60 ₽;;;;;;;;;;;;;;
№ 0124300022121000031;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000031;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";25.02.2021;981 918,00 ₽;;;;;;;;;;;;;;
№ 0124200000621000798;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0124200000621000798;Подача заявок;Выполнение  инженерных изысканий и осуществление подготовки проектной документации  в целях капитального  ремонта  четырнадцати  искусственных сооружений на автомобильнойдорогеКоноша – Няндома   в Коношском районе;КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;25.02.2021;10 999 200,00 ₽;;;;;;;;;;;;;;
№ 0124200000621000797;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0124200000621000797;Подача заявок;Выполнение  инженерных изысканий и осуществление подготовки проектной документации  в целях капитального  ремонта автомобильнойдорогиКеврола-Немнюга-Лохново- Большое Кротово, км 21+864, мостовой переход  через реку Шильмуша в Пинежском районе;КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;25.02.2021;2 398 600,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000021;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000021;Подача заявок;"Капитальный ремонт автомобильнойдорогиобщего пользования федерального значения А-114 Вологда - Тихвин - автомобильнаядорогаР-21 ""Кола"" на участке км 254+000 - км 283+000, Вологодская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.02.2021;3 351 029 002,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000020;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000020;Подача заявок;"Проектные иизыскательские работы по объекту: ""Ремонт моста через реку Солоница на км37+744 автомобильнойдорогиР-132 ""Золотое кольцо"" Ярославль -Кострома - Иваново - Владимир - Гусь-Хрустальный - Рязань - Михайлов - Тула -Калуга - Вязьма - Ржев - Тверь - Углич - Ярославль, Ярославская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";20.02.2021;4 911 575,00 ₽;;;;;;;;;;;;;;
№ 0124200000621000707;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124200000621000707;Определение поставщика завершено;Выполнение отдельных видов работ по содержанию автомобильнойдорогиобщего пользования регионального значения Лешуконское - Мезень (до дер. Жердь) в Лешуконском и Мезенском районахАрхангельскойобласти;КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;20.02.2021;19 959 303,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124200000621000707;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ДОРОЖНОЕ АГЕНТСТВО ""АРХАНГЕЛЬСКАВТОДОР""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЗЕНСКОЕ ДОРОЖНОЕ УПРАВЛЕНИЕ""";;19 959 303,00;;;;;;
№ 0124200000621000706;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124200000621000706;Работа комиссии;Капитальный ремонт автомобильнойдорогиПодъезд к АБЗ от автомобильнойдорогиКоноша – Вельск, км 1+032, мостовой переход через реку Вель в Коношском районеАрхангельскойобласти;КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;20.02.2021;21 611 524,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000019;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000019;Подача заявок;"Разработкарабочей документации по объекту: ""Капитальный ремонт моста через левыйрукав реки Северная Двина на км 1+883 автомобильнойдорогиПодъезд кмеждународному аэропорту ""Архангельск"" (Талаги) от федеральнойавтомобильнойдорогиМ-8 ""Холмогоры"",Архангельскаяобласть""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";19.02.2021;152 112 326,00 ₽;;;;;;;;;;;;;;
№ 0190300002721000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0190300002721000019;Подача заявок;Ремонт улично-дорожной сети с. Мужи, ул. 50 лет Октября (от ул.Архангельскогодо ул. Рыбацкая);АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ШУРЫШКАРСКИЙ РАЙОН;19.02.2021;5 467 335,00 ₽;;;;;;;;;;;;;;
№ 32110011228;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110011228;Подача заявок;"21Т0210020.0007. Выполнение работ по разработке проектной и рабочей документации по инвестиционному проекту: ""Реконструкция ВЛ-110 кВ ""Северодвинская-1,2"" в г.СеверодвинскеАрхангельскойобласти в объеме переустройства опоры №14 (ООО ""Автодороги"", 07-394/20 от 10.08.20), ИП 000-11-1-01.12-2279 для нужд ПО ""АЭС""Архангельскогофилиала ПАО «МРСК Северо-Запада»";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖРЕГИОНАЛЬНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ СЕВЕРО-ЗАПАДА""";19.02.2021;785 538,08 ₽;;;;;;;;;;;;;;
