№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0856600010821000078;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0856600010821000078;Определение поставщика завершено;Выполнение работ по ремонту участка автомобильнойдорогиКрасный Восход - Луговая  (участок км 000+000 - км 001+000);"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКУПОКПЕРМСКОГОМУНИЦИПАЛЬНОГО РАЙОНА""";26.02.2021;8 479 723,20 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0856600010821000078;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВОМ ПЕРМСКОГО МУНИЦИПАЛЬНОГО РАЙОНА""";№3594802902421000032;Да;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВОМ ПЕРМСКОГО МУНИЦИПАЛЬНОГО РАЙОНА""";САРГСЯН АГАРОН СЕРЕЖАЕВИЧ;6 995 768,68;29.03.2021 15:13 (МСК+2);;31.12.2021;29.03.2021;614990, г Пермь, ул Рязанская, д 80, оф 401;79082535111sargsyanagaron@yandex.ru;
№ 32110035005;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110035005;Работа комиссии;Открытый конкурс среди субъектов малого и среднего предпринимательства в электронной форме № 83/ОКЭ-ЦДМВ/21 на право заключения договора оказания услуг по опорожнению и дезодорации баков-накопителей ЭЧТК серии «Экотол-ЭП» вагонов электропоездов серии ЭС2Г, ЭС1 «Ласточка» на станцииПермь-2;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";26.02.2021;2 253 264,00 ;;;;;;;;;;;;;;
№ 32110034492;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110034492;Закупка завершена;Поставка канцелярских товаров для нуждПермскогоотряда филиала ФГП ВО ЖДТ России на Свердловской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;79 555,77 ;;;;;;;;;;;;;;
№ 0156300001221000065;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156300001221000065;Определение поставщика завершено;Выполнение работ по ремонту тротуара вдоль ул.Пермскаяот ул.Сибирская до ул.Южная;АДМИНИСТРАЦИЯ СОЛИКАМСКОГО ГОРОДСКОГО ОКРУГА;26.02.2021;1 110 140,30 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0156300001221000065;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО РЕМОНТУ, СТРОИТЕЛЬСТВУ И ИНЖЕНЕРНОЙ ИНФРАСТРУКТУРЕ СОЛИКАМСКОГО ГОРОДСКОГО ОКРУГА""";№3591901481021000025;Да;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО РЕМОНТУ, СТРОИТЕЛЬСТВУ И ИНЖЕНЕРНОЙ ИНФРАСТРУКТУРЕ СОЛИКАМСКОГО ГОРОДСКОГО ОКРУГА""";ЗАХАРОВА ЕЛЕНА ВЛАДИМИРОВНА;865 876,62;29.03.2021 15:41 (МСК+2);;31.12.2021;29.03.2021;618400, Пермский край, г Березники, Советский пр-кт, д 22, кв 37;89223433985elena.zaharova21@mail.ru;
№ 0856600004221000022;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0856600004221000022;Определение поставщика завершено;"Ремонт моста через реку Сабанец на автомобильнойдороге""Буб-Инвенцы"", км 012+550";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА СИВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА""";26.02.2021;2 917 983,60 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0856600004221000022;УПРАВЛЕНИЕ РАЗВИТИЯ ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ СИВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;№3593301270121000007;Да;УПРАВЛЕНИЕ РАЗВИТИЯ ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ СИВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;Мальцев Андрей Александрович;1 969 638,80;24.03.2021 8:55 (МСК+2);;30.06.2021;24.03.2021;614000, Пермский край, Пермь г, ул.Косякова, д.13 - 8;89082561409-;
№ 0356200031321000009;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0356200031321000009;Определение поставщика завершено;Поставка запасных частей навесного оборудования;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГИ ТРАНСПОРТА""ПЕРМСКОГОКРАЯ";26.02.2021;374 978,70 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0356200031321000009;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ И ТРАНСПОРТА"" ПЕРМСКОГО КРАЯ";№2590219293421000028;6670441393;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ И ТРАНСПОРТА"" ПЕРМСКОГО КРАЯ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦСНАБ""";275 609,53;23.03.2021 12:47 (МСК+2);;31.05.2021;23.03.2021;620137, г Екатеринбург, ул Аппаратная, д 5, оф 201;3433856820scnsnab1@mail.ru;
№ 0156300001221000061;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156300001221000061;Определение поставщика завершено;"Выполнение работ по ремонту тротуара вдоль ул.Пермскаяот ул.Кутузова до ост. ""улица Гастелло""";АДМИНИСТРАЦИЯ СОЛИКАМСКОГО ГОРОДСКОГО ОКРУГА;26.02.2021;1 075 655,18 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0156300001221000061;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО РЕМОНТУ, СТРОИТЕЛЬСТВУ И ИНЖЕНЕРНОЙ ИНФРАСТРУКТУРЕ СОЛИКАМСКОГО ГОРОДСКОГО ОКРУГА""";№3591901481021000026;Да;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО РЕМОНТУ, СТРОИТЕЛЬСТВУ И ИНЖЕНЕРНОЙ ИНФРАСТРУКТУРЕ СОЛИКАМСКОГО ГОРОДСКОГО ОКРУГА""";ЗАХАРОВА ЕЛЕНА ВЛАДИМИРОВНА;801 299,42;29.03.2021 15:42 (МСК+2);;31.12.2021;29.03.2021;618400, Пермский край, г Березники, Советский пр-кт, д 22, кв 37;89223433985elena.zaharova21@mail.ru;
№ 0822300013121000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0822300013121000002;Определение поставщика завершено;Выполнение работ по подготовке проектной документации (разделение на этапы) для объекта капитального строительства «Автодорогаот перекрёстка Комсомольского шоссе-проспект Победы до ул.Пермскойс подходом к площадке ТОСЭР»;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ГОРОДА КОМСОМОЛЬСКА-НА-АМУРЕ""";26.02.2021;4 305 350,49 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0822300013121000002;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ГОРОДА КОМСОМОЛЬСКА-НА-АМУРЕ""";№3270307726521000005;2703102730;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ГОРОДА КОМСОМОЛЬСКА-НА-АМУРЕ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИМ""";2 669 317,13;31.03.2021 16:32 (МСК+7);;01.11.2021;31.03.2021;681024, КРАЙ ХАБАРОВСКИЙ 27, Г. Комсомольск-на-Амуре, ПР-КТ ЛЕНИНА, Д. 45, ЛИТЕРА А, ОФИС 213;8-9141-725083RIM1group@yandex.ru;
№ 0856600007121000045;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0856600007121000045;Определение поставщика завершено;Ремонт тротуара по ул. Чапаева от пр. Победы до ул. Балахнина в г. ЛысьваПермскогокрая;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА ЛЫСЬВЕНСКОГО ГОРОДСКОГО ОКРУГА""";26.02.2021;2 690 112,74 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0856600007121000045;УПРАВЛЕНИЕ ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ ЛЫСЬВЕНСКОГО ГОРОДСКОГО ОКРУГА;;;;;;;;;;;;
№ 0856600004221000021;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0856600004221000021;Определение поставщика завершено;"Ремонт моста через реку Буб на автомобильнойдороге""Пашнино-Лискино-Воронята"", км 000+233-км 000+243";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА СИВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА""";26.02.2021;3 511 915,91 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0856600004221000021;УПРАВЛЕНИЕ РАЗВИТИЯ ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ СИВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;№3593301270121000008;Да;УПРАВЛЕНИЕ РАЗВИТИЯ ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ СИВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;БЕГУНОВ ЕВГЕНИЙ АНАТОЛЬЕВИЧ;2 809 532,71;24.03.2021 9:01 (МСК+2);;30.06.2021;24.03.2021;614015, г.Пермь, ул.Окулова 37, кв.36;89028328142begunovea@mail.ru;
