№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 32110068233;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110068233;Подача заявок;...  и наледи (в.Майкоп, Эсто- Садок, Роза Хутор, Краснодар ...;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";10.03.2021;1 999 999,63 ;;;;;;;;;;;;;;
№ 0176200005521000204;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000204;Подача заявок;Ремонт автомобильнойдорогиподъезд к ст. Гиагинской от автомобильнойдороги Майкоп- Гиагинская - Псебай - Зеленчукская - Карачаевск на км 2+800 - 3+800 МО «Гиагинский район» Республики Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;10 458 368,00 ;;;;;;;;;;;;;;
№ 0176200005521000199;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000199;Подача заявок;Ремонт автомобильнойдорогиХанская - Белореченск на км 3+000 - 4+000 МО «ГородМайкоп» Республики Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;13 287 157,00 ;;;;;;;;;;;;;;
№ 0176200005521000189;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000189;Подача заявок;Ремонт автомобильнойдорогиподъезд к х. Дъякову на участках км 0+500 - 1+000, км 3+000 - 4+500 МО «Майкопскийрайон» Республики Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;20 407 336,00 ;;;;;;;;;;;;;;
№ 0176200005521000185;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000185;Подача заявок;Ремонт автомобильнойдороги Майкоп- Туапсе на участках км 12+800 - 16+479, км 22+500 - 23+500 МО «Майкопскийрайон» Республики Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;53 696 842,00 ;;;;;;;;;;;;;;
№ 0176200005521000180;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000180;Подача заявок;Ремонт автомобильнойдорогиКраснооктябрьский - Курджипская - Дагестанская на участках км 5+900 - 7+500, км 14+200 - 15+600 МО «Майкопскийрайон» Республики Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;30 656 406,00 ;;;;;;;;;;;;;;
№ 0176200005521000171;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000171;Подача заявок;Ремонт автомобильнойдороги Майкоп- Гиагинская - Псебай - Зеленчукская - Карачаевск на участках км 90+830 - 92+026, км 104+500 - 105+971 МО «Кошехабльский район» Республики Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;31 029 463,00 ;;;;;;;;;;;;;;
№ 0176200005521000166;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000166;Подача заявок;Ремонт автомобильнойдорогиподъезд к х. Косинову на км 7+000 - 10+987 МО «ГородМайкоп» Республики Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;37 737 029,00 ;;;;;;;;;;;;;;
№ 0318100051221000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000007;Определение поставщика завершено;"Выполнение подрядных работ по объекту: ""Ремонт моста через р. Камла на км 18+561 автомобильнойдорогиА-160Майкоп- Бжедугхабль - Адыгейск - Усть-Лабинск - Кореновск (направление Бжедугхабль - Адыгейск), Республика Адыгея"" (Завершение работ)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.03.2021;41 282 366,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100051221000007;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;;;;;;;;;;;
№ 0318100051221000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000006;Определение поставщика завершено;Оказание услуг по содержанию транспортной развязки на км 103 автомобильнойдорогиподъезд к городуМайкопавтомобильнойдорогиР-217 «Кавказ» автомобильнаядорогаМ-4 «Дон» - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой, Республика Адыгея;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.03.2021;85 262 462,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100051221000006;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 3""";;85 262 462,00;;;;;;
