Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0856300003821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0856300003821000002;Подача заявок;"Ремонт участка км 0+000 - км 2+900 автомобильнойдороги ""Архангельское-Антипино""-Якунёво-Яранёво""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЮСЬВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ ""ЕДИНЫЙ УЧЕТНЫЙ ЦЕНТР""";22.01.2021;7 047 102,55 ₽;;;;;;;;;;;;;;
№ 0330100010521000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000001;Подача заявок;"Осуществление строительного контроля на объекте:""Капитальный ремонт моста через реку Ошта на км 119+714 автомобильнойдорогиА-215 Лодейное поле - Вытегра - Прокшино - Плесецк - Брин-Наволок,Вологодская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;4 612 807,00 ₽;;;;;;;;;;;;;;
№ 0124300013021000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300013021000006;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиот ул. Доковская до ул. 263 Сивашской Дивизии г.Архангельска;"УПРАВЛЕНИЕ ЭКОНОМИКИ И ПРОГНОЗИРОВАНИЯ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПРИМОРСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";21.01.2021;33 356 966,40 ₽;;;;;;;;;;;;;;
№ 0124300022121000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000013;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";20.01.2021;7 471 234,20 ₽;;;;;;;;;;;;;;
№ 0124300006421000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300006421000002;Подача заявок;Выделение специализированной техники для выполнения работ по содержанию автомобильныхдорогобщего пользования местного значения МО «Октябрьское» Устьянского районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УСТЬЯНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";20.01.2021;800 000,00 ₽;;;;;;;;;;;;;;
№ 0124300006421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300006421000001;Подача заявок;Выделение специализированной техники для выполнения работ по содержанию автомобильныхдорогобщего пользования местного значения МО «Илезское» Устьянского районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УСТЬЯНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";20.01.2021;2 000 000,00 ₽;;;;;;;;;;;;;;
№ 32109901877;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109901877;Закупка завершена;Субподрядные работы по содержанию автомобильныхдороги сооружений на них в Котласском районеАрхангельскойобласти (автобусные остановки) (М);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТЛАССКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";19.01.2021;571 680,00 ₽;;;;;;;;;;;;;;
№ 32109901854;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109901854;Закупка завершена;Субподрядные работы по содержанию автомобильныхдороги сооружений на них в Вилегодском районеАрхангельскойобласти .;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТЛАССКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";19.01.2021;2 586 206,10 ₽;;;;;;;;;;;;;;
№ 0124300022121000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000012;Подача заявок;Выполнение работ по содержанию (устройству) ледовых переправ;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";18.01.2021;78 654,40 ₽;;;;;;;;;;;;;;
№ 0124300022121000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000011;Подача заявок;Выполнение работ по содержанию (устройству) ледовых переправ;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";18.01.2021;127 222,00 ₽;;;;;;;;;;;;;;
