Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0527300000521000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0527300000521000001;Подача заявок;Ремонт автомобильнойдорогипо ул. Чапаева (от ул. Первомайская до ул. Садовая) в г. НовозыбковБрянскойобласти;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""БЛАГОУСТРОЙСТВО""";13.01.2021;1 518 935,64 ₽;;;;;;;;;;;;;;
№ 32109886685;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109886685;Подача заявок;Оказание услуг по гарантийному обслуживанию автомобиля ГАЗ-27527 (ТО-2, ТО-3, ТО-4, ТО-5, ТО-6) для нуждБрянскогоотряда филиала ФГП ВО ЖДТ России на Московской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";13.01.2021;85 500,00 ₽;;;;;;;;;;;;;;
№ 0127200000220007068;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127200000220007068;Определение поставщика завершено;Содержание объектов улично-дорожной сети г.КлинцыБрянскойобласти;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОКБРЯНСКОЙОБЛАСТИ;30.12.2020;10 164 787,20 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0127200000220007068;КЛИНЦОВСКАЯ ГОРОДСКАЯ АДМИНИСТРАЦИЯ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЛАГО""";;10 164 787,20;;;;;;
№ 0127600000120000168;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127600000120000168;Подача заявок;Выполнение подрядных работ по объекту: «Капитальный ремонтавтодорогпо ул.Ленина, ул.Пионерская, ул.Новая,  ул.Школьная, пер.Ленина в п.ИвановкаБрянскогорайонаБрянскойобласти»;ФИНАНСОВОЕ УПРАВЛЕНИЕ АДМИНИСТРАЦИИБРЯНСКОГОРАЙОНА;30.12.2020;24 624 047,36 ₽;;;;;;;;;;;;;;
№ 32009864663;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009864663;Подача заявок;...  геоинформационной системы автомобильныхдорогГосударственной компании «Российские автомобильныедороги»: М-1 «Беларусь ... , М-3 «Украина» Москва – Калуга –Брянск– граница с Украиной, М-4 ... -Санкт-Петербург», А 105 «Подъезднаядорогаот Москвы к аэропорту Домодедово ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";29.12.2020;18 269 254,00 ₽;;;;;;;;;;;;;;
№ 0156200009920001150;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156200009920001150;Подача заявок;Выполнение работ по ремонту региональной автомобильнойдорогиобщего пользования «Пермь-Березники» км 27+000 – км 37+170 вДобрянскомгородском округе Пермского края;МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ПЕРМСКОГО КРАЯ;25.12.2020;174 339 755,00 ₽;;;;;;;;;;;;;;
№ 32009830318;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009830318;Подача заявок;Конкурс в электронной форме на право заключения Договора на разработку проектно-сметной и технической документации по объекту: «АвтомобильнаядорогаМ-3 «Украина» Москва - Калуга -Брянск- граница с Украиной. Капитальный ремонт водопропускных труб на км 396+350, км 435+350, км 454+700, км 465+200, км 470+100, км 472+500, км 477+150, км 478+800, км 480+100,Брянскаяобласть» (участниками которого могут являться только субъекты малого и среднего предпринимательства);"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕДОРОГИ""";22.12.2020;13 406 680,00 ₽;;;;;;;;;;;;;;
№ 32009829932;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009829932;Закупка завершена;"...  движения на действующей сети автомобильныхдорогобщего пользования федерального значения и ...  на них: - Р-120 Орел-Брянск-Смоленск-граница с Республикой Белоруссия ...  Смоленской области; - Р-120 Орел –Брянск– Смоленск – граница с Республикой Белоруссия ...  Смоленской области; - Р-120 Орел –Брянск– Смоленск – граница с Республикой Белоруссия ...  Смоленской области; - Р-120 Орел –Брянск– Смоленск – граница с Республикой Белоруссия ...  области; - А-132 подъезднаядорогаот автомобильнойдорогиМ-1 ""Беларусь"" к ...";"СМОЛЕНСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";22.12.2020;1 132 387,00 ₽;;;;;;;;;;;;;;
№ 0127200000220006790;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127200000220006790;Определение поставщика завершено;Капитальный ремонт автомобильнойдорогипо ул.Буйневича в пгт.Красная Гора Красногорского районаБрянскойобласти (3 этап);УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОКБРЯНСКОЙОБЛАСТИ;18.12.2020;3 841 046,50 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0127200000220006790;АДМИНИСТРАЦИЯ КРАСНОГОРСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКАВТОДОР""";;3 841 046,50;;;;;;
№ 0127300004120000156;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300004120000156;Определение поставщика завершено;Капитальный ремонт автомобильнойдорогипо ул.Маяковского (от ул.Кольцова до ул.Калинина) в г.КарачевеБрянскойобласти (четный и нечетный участки)». 2021;АДМИНИСТРАЦИЯ КАРАЧЕВСКОГО РАЙОНА;18.12.2020;2 383 448,10 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0127300004120000156;АДМИНИСТРАЦИЯ КАРАЧЕВСКОГО РАЙОНА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРЯНСКРЕМАВТОДОР""";1 - Победитель;2 025 930,90;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКАВТОДОР""";2 - Второй номер;2 037 848,14;;;;;;
