Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0128300009121000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128300009121000006;Подача заявок;прочая закупка услуг  (зимнее содержание автомобильныхдорогна территории муниципального образования поселок Мстера) для обеспечения нужд администрации муниципального образования поселок Мстера Вязниковского районаВладимирскойобласти;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ВЯЗНИКОВСКИЙ РАЙОНВЛАДИМИРСКОЙОБЛАСТИ;13.01.2021;450 000,00 ₽;;;;;;;;;;;;;;
№ 0128300009121000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128300009121000005;Подача заявок;прочая закупка услуг ( зимнее содержание автомобильныхдорог(обработка песчанно- солевой смесью)  на территории муниципального образования поселок Мстера) для обеспечения нужд администрации муниципального образования поселок Мстера Вязниковского районаВладимирскойобласти;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ВЯЗНИКОВСКИЙ РАЙОНВЛАДИМИРСКОЙОБЛАСТИ;13.01.2021;210 000,00 ₽;;;;;;;;;;;;;;
№ 32109880221;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109880221;Подача заявок;Конкурс в электронной форме на право заключения Договора на оказание услуг по осуществлению строительного контроля при выполнении строительно-монтажных работ в рамках реализации проекта М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по 1 - 8 этапам и 1 пусковому комплексу 0 этапа» 1 этап км 0 – км 80, Московская,Владимирскаяобласти (от пересечения с автомобильнойдорогойфедерального значения А-108 «Московское большое кольцо» до пересечения с автомобильнойдорогойфедерального значения М-7 «Волга»);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;273 486 580,00 ₽;;;;;;;;;;;;;;
№ 32109879548;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109879548;Подача заявок;...  М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по ...  – км 347,Владимирская, Нижегородская области (от пересечения с автомобильнойдорогойрегионального ...  «Волга» до пересечения с автомобильнойдорогойфедерального значения Р-158 «Нижний ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;352 336 620,00 ₽;;;;;;;;;;;;;;
№ 32109879082;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109879082;Подача заявок;...  М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по ...  – км 116,Владимирскаяобласть (от пересечения с автомобильнойдорогойфедерального значения ...  пересечения с автомобильнойдорогойрегионального значения 17Р-2 «Владимир– Гусь – Хрустальный – Тума ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;108 266 950,00 ₽;;;;;;;;;;;;;;
№ 32109879070;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109879070;Подача заявок;...  М-12 «Строящаяся скоростная автомобильнаядорогаМосква – Нижний Новгород – Казань» по ... ,Владимирскаяобласть (от пересечения с автомобильнойдорогойрегионального значения 17Р-2 «Владимир...  – Гусь-Хрустальный – Тума» до пересечения с автомобильнойдорогойрегионального ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";11.01.2021;303 649 300,00 ₽;;;;;;;;;;;;;;
№ 0348100006020000066;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000066;Подача заявок;"Оказание услуг по содержанию искусственных дорожных сооружений на сети автомобильныхдорогобщего пользования федерального значения: автомобильнаядорогаМ-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань - Уфа, на участке км 94+052 - км 340+660,Владимирскаяобласть; автомобильнаядорогаМ-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань - Уфа, на участке км 340+660 км 399+000, Нижегородская область.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;174 478 583,81 ₽;;;;;;;;;;;;;;
№ 0348100006020000065;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000065;Определение поставщика завершено;"...  автомобильныхдорогобщего пользования федерального значения:автомобильнаядорогаМ-7 ""Волга"" Москва -Владимир... .Владимируна участке км 0+000 - км 32+239; автомобильнаядорога...  М-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань ... +660; автомобильнаядорогаР-132 ""Золотое кольцо"" Ярославль - Кострома - Иваново -Владимир- Гусь ... +840,Владимирскаяобласть; автомобильнаядорогаР-132 ""Золотое кольцо"" Ярославль - Кострома - Иваново -Владимир...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;51 739 634,32 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0348100006020000065;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТМОСТ""";;51 739 634,32;;;;;;
№ 0128300005320000208;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128300005320000208;Подача заявок;Текущее содержание и ремонт сетей уличного освещения муниципального образования город Гусь-ХрустальныйВладимирскойобласти в феврале, марте 2021 года;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ГУСЬ-ХРУСТАЛЬНЫЙВЛАДИМИРСКОЙОБЛАСТИ;31.12.2020;220 000,00 ₽;;;;;;;;;;;;;;
№ 0315100000320000143;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0315100000320000143;Подача заявок;Выполнение работ по объекту: «Ремонт автомобильнойдорогиМ-7 «Волга» Москва –Владимир– Нижний Новгород – Казань – Уфа, подъезд к г. Пермь, км 477+644 – км 509+867, Пермский край»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ПРИКАМЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.12.2020;1 331 692 260,00 ₽;;;;;;;;;;;;;;
