Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0130300005721000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0130300005721000001;Подача заявок;Выполнение работ по содержанию автомобильныхдорогв городе НикольскВологодскойобласти;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НИКОЛЬСК;11.01.2021;1 504 320,00 ₽;;;;;;;;;;;;;;
№ 32009875041;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875041;Подача заявок;Запрос котировок в электронной форме № 4705/ЗКТЭ-СЕВ/20 на право заключения договора оказания услуг по проведению дератизации и дезинсекции (Ярославская,Вологодская, Сольвычегодская, Сосногорская дистанции гражданских сооружений);"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";31.12.2020;2 615 730,24 ₽;;;;;;;;;;;;;;
№ 32009873856;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009873856;Закупка завершена;"Право заключения договора на оказание услуг по эксплуатации железнодорожного пути необщего пользования АО ""ВОЭК"" по станции Вожега Северной железнойдороги.";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛОГОДСКАЯОБЛАСТНАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";31.12.2020;5 006 601,00 ₽;;;;;;;;;;;;;;
№ 0130300034320000181;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0130300034320000181;Работа комиссии;Выполнение работ по установке  и  замене светильников на существующей опоре, переустройство ВЛ-0,4 кВ на территории городского поселения Грязовецкое.;АДМИНИСТРАЦИЯ ГРЯЗОВЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОЛОГОДСКОЙОБЛАСТИ;30.12.2020;332 000,00 ₽;;;;;;;;;;;;;;
№ 0330100010520000135;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010520000135;Подача заявок;"Установка комплексов фотовидеофиксации нарушенийправил дорожного движения на участках км 716+731 (средняя скорость сустановленным комплексом на км 724+250), км 735+900 – 753+650 (средняяскорость), км 790+500 – км 805+500 (средняя скорость), км 840+509, автомобильнойдорогиобщего пользования федерального значения М-8 ""Холмогоры""Москва – Ярославль –Вологда– Архангельск (в Архангельской области)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;18 303 905,00 ₽;;;;;;;;;;;;;;
№ 0330100010520000134;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010520000134;Работа комиссии;"Установка комплексов фотовидеофиксации нарушенийправил дорожного движения на участках км 1219+339 (справа) - км 1224+555(справа) (средняя скорость), км 1219+237 (слева) - км 1224+856 (слева) (средняяскорость), км 978+500–985+500 (средняя скорость), автомобильнойдорогиобщегопользования федерального значения М-8 ""Холмогоры"" Москва – Ярославль–Вологда– Архангельск (в Архангельской области)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;18 303 905,00 ₽;;;;;;;;;;;;;;
№ 32009829768;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009829768;Закупка завершена;Поставка горюче-смазочных материалов (автомобильного бензина Аи-92, Дт) для нужд филиала ФГП ВО ЖДТ России на Северной железнойдорогевВологодскойобласти;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";22.12.2020;1 196 804,28 ₽;;;;;;;;;;;;;;
№ 0330100010520000133;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010520000133;Определение поставщика завершено;Оказание услуг по содержанию автомобильнойдорогиобщего пользованияфедерального значения А-215 Лодейное Поле – Вытегра – Прокшино – Плесецк – Брин-Наволок сподъездом к г. Петрозаводск км 0+012 – км 2+838 (вВологодскойобласти);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.12.2020;6 719 578,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010520000133;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОРОГИ ВЫТЕГРА""";;6 719 578,00;;;;;;
№ 0330100010520000132;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010520000132;Подача заявок;"Защита моста через р. Суда на км 148+300автомобильнойдорогиА-114Вологда- Тихвин - автомобильнаядорогаР-21""Кола"", г. Суда (4,0 км) от актов незаконного вмешательства";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";21.12.2020;12 219 595,50 ₽;;;;;;;;;;;;;;
№ 0330100010520000131;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010520000131;Подача заявок;"Защита моста через р. Емца на км 1060+638автомобильнойдорогиМ-8 ""Холмогоры"" Москва - Ярославль -Вологда-Архангельск, г. Емецк (0,0км) от актов незаконного вмешательства";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";21.12.2020;14 052 885,00 ₽;;;;;;;;;;;;;;
