Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0137300000321000002;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0137300000321000002;Подача заявок;"Содержание автомобильныхдороггородского поселения ""Город Мещовск""  в 2021 году";"АДМИНИСТРАЦИЯ (ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН) МУНИЦИПАЛЬНОГО РАЙОНА ""МЕЩОВСКИЙ РАЙОН""КАЛУЖСКОЙОБЛАСТИ";12.01.2021;299 430,80 ₽;;;;;;;;;;;;;;
№ 0135300007520000255;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0135300007520000255;Определение поставщика завершено;Ремонт асфальтового покрытия по ул. Крюкова в пос.Калужское, Черняховского района, Калининградской области (второй этап).;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЧЕРНЯХОВСКИЙ ГОРОДСКОЙ ОКРУГ""";15.12.2020;597 241,20 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0135300007520000255;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАЛУЖСКОЕ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕРНЯХОВСКИЙ ""РАЙАВТОДОР""";;597 241,20;;;;;;
№ 0137300002320000088;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0137300002320000088;Определение поставщика завершено;Зимнее содержание автомобильныхдорог, тротуаров  общего пользования местного значения города Жиздра,Калужскойобласти.;"АДМИНИСТРАЦИЯ (ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН) МУНИЦИПАЛЬНОГО РАЙОНА ""ЖИЗДРИНСКИЙ РАЙОН""";15.12.2020;499 999,06 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0137300002320000088;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ""ГОРОД ЖИЗДРА""";;По окончании срока подачи заявок подана только одна заявка (ч. 14 ст. 82.3 Закона № 44-ФЗ). Заявка соответствует требованиям.;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТВОЙ ДОМ""";;499 999,06;;;;;;
№ 0137300039720000195;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0137300039720000195;Определение поставщика завершено;Устройство технологических проездов для участков многодетных семей, расположенных в д. Красное Боровского районаКалужскойобласти (Реестровый номер: 3645Э-02/20сб);"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""БОРОВСКИЙ РАЙОН""";14.12.2020;7 569 195,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0137300039720000195;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""БОРОВСКИЙ РАЙОН""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВ-СТРОЙ";1 - Победитель;6 262 154,02;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕКОРД""";2 - Второй номер;6 300 000,00;;;;;;
№ 32009792938;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009792938;Закупка завершена;Право заключения Договора на выполнение работ согласно техническому заданию по объекту: «ПИР «Реконструкция ВЛ-10кВ № 9 ПС «Ворсино», ВЛ-10кВ №7 ПС «Вега» по объекту: «Внешняя инженерная инфраструктура. Внеплощадочная подъездная автомобильнаядорога.I этап по адресу:Калужскаяобласть, Боровский район, д. Ильино и д. Козельское», на основании договора о снятии ограничений по использованию земельного участка № 401034036 от 16.04.2020 г» для нужд филиала «Калугаэнерго» ПАО «МРСК Центра и Приволжья»;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖРЕГИОНАЛЬНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ ЦЕНТРА И ПРИВОЛЖЬЯ""";11.12.2020;915 098,40 ₽;;;;;;;;;;;;;;
№ 32009781088;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009781088;Работа комиссии;Конкурс в электронной форме на право заключения Договора на оказание услуг по защите объектов транспортной инфраструктуры мост через реку Угра км 177+100 (левый, правый), расположенного на автомобильнойдорогеМ-3 «Украина» Москва - Калуга - Брянск - граница с Украиной вКалужскойобласти с использованием инженерно-технических средств (систем) обеспечения транспортной безопасности;"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕДОРОГИ""";09.12.2020;12 070 000,00 ₽;;;;;;;;;;;;;;
№ 32009766641;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009766641;Закупка завершена;Выполнение комплекса работ по содержанию тротуаров, расположенных вдоль автомобильныхдорогобщего пользования местного значения, в зимний период 2021 года;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКАКАЛУЖСКОЙОБЛАСТИ ""КОММУНАЛЬНОЕ ХОЗЯЙСТВО""";04.12.2020;7 452 211,60 ₽;;;;;;;;;;;;;;
№ 32009755619;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009755619;Закупка завершена;"Выполнение работ по бестраншейной прокладке полиэтиленового газопровода высокого давления методом горизонтально-направленного бурения с использованием специальных устройств и механизмов, протяженностью 134,0 м; глубиной – от 1,5 м. до 7,0 м.; Ø355х32,2 с протаскиванием в футляр трубы Ø255х20,5 протяженностью: 154,0 м. в соответствии с проектной документацией ПД 1735 – 2017 ГСН «Газопровод высокого давления диаметром 225 мм на Промзону г. Балабаново, Боровского района,Калужскойобласти (переход через Московско-Смоленскую железнуюдорогуна 97 км ПК 5+0,0).";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАЛОЯРОСЛАВЕЦМЕЖРАЙГАЗ""";02.12.2020;2 068 349,58 ₽;;;;;;;;;;;;;;
№ 32009755615;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009755615;Закупка завершена;Выполнение работ по содержанию территорий автобусных остановок, пешеходных переходов и подходов к ним в зимний период 2021 года на автомобильныхдорогахместного значения в границах МО «Город Обнинск»;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКАКАЛУЖСКОЙОБЛАСТИ ""КОММУНАЛЬНОЕ ХОЗЯЙСТВО""";02.12.2020;6 617 037,90 ₽;;;;;;;;;;;;;;
№ 0148300040720000054;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0148300040720000054;Определение поставщика завершено;... . Красная Пахра подъезд отКалужскогош. до школы, с ...;АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ КРАСНОПАХОРСКОЕ;02.12.2020;60 362 737,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0148300040720000054;АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ КРАСНОПАХОРСКОЕ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКЦ-ТЕХНОЛОДЖИ""";1 - Победитель;36 519 455,85;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙРЕСУРС""";2 - Второй номер;36 821 269,54;;;;;;
№ 0137300002320000082;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0137300002320000082;Определение поставщика завершено;Зимнее содержание автомобильныхдорог, тротуаров общего пользования местного значения города Жиздра,Калужскойобласти.;"АДМИНИСТРАЦИЯ (ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН) МУНИЦИПАЛЬНОГО РАЙОНА ""ЖИЗДРИНСКИЙ РАЙОН""";02.12.2020;499 999,06 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0137300002320000082;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ""ГОРОД ЖИЗДРА""";;;;;;;;;;;;
№ 32009754679;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009754679;Работа комиссии;Конкурс в электронной форме на право заключения договора на оказание услуг по проведению лабораторных испытаний дорожно-строительных материалов, применяемых на объектах Государственной компании «Российские автомобильныедороги» на автомобильнойдорогеМ-3 «Украина» в Московской,Калужскойи Брянской областях (участниками которого могут являться только субъекты малого и среднего предпринимательства);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";02.12.2020;15 060 618,22 ₽;;;;;;;;;;;;;;
№ 0137200001220006266;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0137200001220006266;Определение поставщика завершено;Выполнение работ по содержанию наплавного моста через реку Ока на автомобильнойдорогеФерзиково-Дугна-Р-132«Калуга-Тула-Михайлов-Рязань», п.Дугна в Ферзиковском районеКалужскойобласти на 2021-2024 гг.;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИКАЛУЖСКОЙОБЛАСТИ;02.12.2020;27 100 721,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0137200001220006266;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КАЛУЖСКОЙ ОБЛАСТИ ""КАЛУГАДОРЗАКАЗЧИК""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЛУГАВТОДОР""";;27 100 721,00;;;;;;
