Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0356300290921000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0356300290921000001;Подача заявок;Выполнение работ по содержанию остановочных павильонов(Кировскийрайон);"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЕ УПРАВЛЕНИЕ ТРАНСПОРТА""";18.01.2021;1 524 191,91 ₽;;;;;;;;;;;;;;
№ 0140300004221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0140300004221000001;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения Нагорского городского поселения;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ  МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""НАГОРСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ НАГОРСКОГО РАЙОНАКИРОВСКОЙОБЛАСТИ""";15.01.2021;2 819 132,64 ₽;;;;;;;;;;;;;;
№ 0340200003321000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003321000005;Подача заявок;Выполнение работ по ремонту тротуаров в г.Кирове;"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";15.01.2021;57 032 916,84 ₽;;;;;;;;;;;;;;
№ 32109890355;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109890355;Закупка завершена;Аренда канатно-буксировочныхдорогс прилегающими земельными участками (гора Айкуайвенчорр);"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ МУРМАНСКОЙ ОБЛАСТИ ""КИРОВСКАЯСПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ГОРНОЛЫЖНОМУ СПОРТУ""";14.01.2021;3 091 528,00 ₽;;;;;;;;;;;;;;
№ 0340200003320015220;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003320015220;Работа комиссии;"Выполнение работ по строительству объекта ""Дорогипо ул. Зеленина и по ул. Восьмого марта мкр. Долгушино г.Кирова""";"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";31.12.2020;83 870 756,00 ₽;;;;;;;;;;;;;;
№ 0340200003320015219;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003320015219;Подача заявок;"Выполнение работ по строительству объекта ""Улица Сурикова от ул.Некрасова до ул. Комсомольская в г.Кирове"" 1 этап";"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";31.12.2020;156 793 600,00 ₽;;;;;;;;;;;;;;
№ 0340200003320015218;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003320015218;Подача заявок;"Выполнение работ по строительству объекта ""Улица Сурикова от ул.Некрасова до ул. Комсомольская в г.Кирове"" 2 этап";"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";31.12.2020;114 928 774,00 ₽;;;;;;;;;;;;;;
№ 32009873061;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009873061;Закупка завершена;Услуги по проведению государственной экспертизы проектной документации и результатов инженерных изысканий по объекту: «Строительство автомобильнойдорогипо ул. Зыбина П.М. в границах VI, VII микрорайонов жилого района «Солнечный-2»Кировскогорайона г. Саратова»;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРОЕКТНОЕ ПРЕДПРИЯТИЕ ""ИНСТИТУТ САРАТОВГРАЖДАНПРОЕКТ"" САРАТОВСКОЙ ОБЛАСТИ";30.12.2020;631 260,00 ₽;;;;;;;;;;;;;;
№ 0832200006620001156;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0832200006620001156;Определение поставщика завершено;Содержание сети архитектурного освещения на автомобильнойдороге(22 ОП РЗ 22К-0100) Мостовой переход через р.Волга на автомобильнойдороге(22 ОП РЗ 22Р-0159) Н.Новгород-Шахунья-Кировв Нижегородской области;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР РАЗМЕЩЕНИЯ ЗАКАЗА НИЖЕГОРОДСКОЙ ОБЛАСТИ""";30.12.2020;2 467 848,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0832200006620001156;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ГЛАВНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШУСТОВ И КОМПАНИЯ ""СПУТНИК""";1 - Победитель;1 087 660,76;Полетаев А. В.;2 - Второй номер;1 100 000,00;;;;;;
№ 0140300040820001816;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0140300040820001816;Работа комиссии;Выполнение работ по содержанию, установке и замене дорожных знаков в г.Кирове.;Управление муниципальных закупок администрации городаКирова;30.12.2020;7 534 253,00 ₽;;;;;;;;;;;;;;
№ 0173200001420001952;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0173200001420001952;Подача заявок;Поставка оборудования Службы централизации иблокировки;ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;29.12.2020;54 412 742,54 ₽;;;;;;;;;;;;;;
№ 0119200000120015992;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0119200000120015992;Работа комиссии;№ЭА 105051/20 «Ремонт автомобильнойдорогипо ул.Кирова, в с. Екатериновка, Идринского района»;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;29.12.2020;1 024 032,58 ₽;;;;;;;;;;;;;;
№ 0340200003320015213;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003320015213;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения Оричевского района и искусственных сооружений на них в 2021 году;"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";29.12.2020;32 398 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0340200003320015213;АДМИНИСТРАЦИЯ ОРИЧЕВСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЯТСКИЕ АВТОМОБИЛЬНЫЕ ДОРОГИ""";;32 398 000,00;;;;;;
