Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0118300003820000166;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0118300003820000166;Определение поставщика завершено;Реализация мероприятий подпрограммы «Строительство, реконструкция, капитальный ремонт и ремонт автомобильныхдорогобщего пользования местного значения на территорииКраснодарскогокрая» государственной программыКраснодарскогокрая «Развитие сети автомобильныхдорог Краснодарскогокрая» в муниципальном образовании Лабинский район на 2021 год;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЛАБИНСКИЙ РАЙОНКРАСНОДАРСКОГОКРАЯ;31.12.2020;54 285 976,80 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0118300003820000166;АДМИНИСТРАЦИЯ ЛАБИНСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ ЛАБИНСКОГО РАЙОНА;АДМИНИСТРАЦИЯ ЗАССОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ЛАБИНСКОГО РАЙОНА;АДМИНИСТРАЦИЯ ВОЗНЕСЕНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ЛАБИНСКОГО РАЙОНА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ-ИНВЕСТ""";1 - Победитель;33 942 823,12;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГСПЕЦСТРОЙ""";;;;;;
№ 0818500000820007401;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007401;Подача заявок;Устройство тротуаров на объекте: «Автомобильнаядорогас. Экономическое - ст-ца Нижнебаканская, км 14+246 - 14+345, км 14+416 - 15+115, км 15+423 - 15+562 в Крымском районе»;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";29.12.2020;17 191 664,40 ₽;;;;;;;;;;;;;;
№ 0818500000820007400;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007400;Подача заявок;Устройство тротуаров на объекте: «Автомобильнаядорогах. Стефановский - х. Новоивановский - ст-ца Дербентская, км 32+572 - 33+253, км 33+375 - 34+321 в Северском районе»;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";29.12.2020;15 195 429,60 ₽;;;;;;;;;;;;;;
№ 32009864663;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009864663;Подача заявок;...  геоинформационной системы автомобильныхдорогГосударственной компании «Российские автомобильныедороги»: М-1 «Беларусь ... -Дону –Краснодар– Новороссийск, М-11 «Москва-Санкт-Петербург», А 105 «Подъезднаядорога...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";29.12.2020;18 269 254,00 ₽;;;;;;;;;;;;;;
№ 32009858519;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009858519;Работа комиссии;Поставка субпродуктов пищевых для кормления служебных собакКраснодарскогоотряда филиала ФГП ВО ЖДТ России на Северо-Кавказской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";28.12.2020;423 984,00 ₽;;;;;;;;;;;;;;
№ 32009858386;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009858386;Работа комиссии;Поставка продуктов питания (крупы, масло, соль) для служебных собакКраснодарскогоотряда филиала ФГП ВО ЖДТ России на Северо-Кавказской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";28.12.2020;205 311,68 ₽;;;;;;;;;;;;;;
№ 0818500000820007224;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007224;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (29 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";24.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007223;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007223;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (27 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";24.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007222;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007222;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (28 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";24.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007221;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007221;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (26 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";24.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007220;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007220;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (25 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";24.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007219;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007219;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (24 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";24.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007205;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007205;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (21 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007203;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007203;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (20 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007202;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007202;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (19 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007201;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007201;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (18 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007188;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007188;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (23 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007187;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007187;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (22 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007180;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007180;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (17 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
№ 0818500000820007179;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818500000820007179;Подача заявок;Выполнение работ по содержаниюдорогрегионального или межмуниципального значенияКраснодарскогокрая (установка элементов обустройства: аппаратно-программных комплексов (камер) фотовидеофиксации нарушений правил дорожного движения) в 2021 году (16 этап);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕКРАСНОДАРСКОГОКРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;19 202 320,00 ₽;;;;;;;;;;;;;;
