Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0145300008920000515;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0145300008920000515;Подача заявок;"Благоустройство территории ул. Соборная от пр. 25-го Октября до Гатчинского кафедрального собора святого апостола Павла. 4 этап, г. Гатчина, ""ул. Соборная"" (от. ул. Горького до ул. Красной)";АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГАТЧИНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОНЛЕНИНГРАДСКОЙОБЛАСТИ;31.12.2020;54 007 604,00 ₽;;;;;;;;;;;;;;
№ 0145300010320000432;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300010320000432;Подача заявок;Благоустройство территории прилегающей к Городскому дому культуры г.Кингисепп.;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КИНГИСЕППСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""ЛЕНИНГРАДСКОЙОБЛАСТИ";30.12.2020;32 258 100,00 ₽;;;;;;;;;;;;;;
№ 0145300013020000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300013020000018;Подача заявок;Содержание автомобильныхдорогобщего пользования местного значения Кировского муниципального районаЛенинградскойобласти в МО Назиевское городское поселение в 2021 году;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ НАЗИЕВСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ КИРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ;29.12.2020;573 210,00 ₽;;;;;;;;;;;;;;
№ 0145300011420000056;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300011420000056;Определение поставщика завершено;Выполнение работ по расчисткедорогот снега;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДРУЖНОГОРСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ ГАТЧИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ;29.12.2020;298 800,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0145300011420000056;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДРУЖНОГОРСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ ГАТЧИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Носов А. В.;;298 800,00;;;;;;
№ 0845300015020000739;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0845300015020000739;Определение поставщика отменено;Оказание услуг по содержаниюдорогг. Приморск, п. Ермилово, п. Красная Долина, п. Рябово, д. Камышовка, д. Александровка, п. Заречье, п. Краснофлотское, п. Озерки, п. Глебычево, п. Прибылово, п. Ключевое, п. Вязы, п. Малышево, п. Балтийское, п. Мамонтовка, п. Мысовое, п. Лужки;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЕДИНОЕ УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКАЗАМИ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЫБОРГСКИЙ РАЙОН""ЛЕНИНГРАДСКОЙОБЛАСТИ";29.12.2020;4 609 275,00 ₽;;;;;;;;;;;;;;
№ 0145200000420002188;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145200000420002188;Определение поставщика отменено;Выполнениеработ по нанесению горизонтальной дорожной разметки, установке сигнальных столбиков и световозвращающих устройств на автомобильныхдорогахобщего пользования регионального значения в Гатчинском, Ломоносовском и Тосненском районахЛенинградскойобласти. ЛОТ 3.;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАЛЕНИНГРАДСКОЙОБЛАСТИ;26.12.2020;289 169 843,12 ₽;;;;;;;;;;;;;;
№ 0145200000420002187;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145200000420002187;Определение поставщика отменено;Выполнение работ по нанесению горизонтальной дорожной разметки, установке сигнальных столбиков и световозвращающих устройств на автомобильныхдорогахобщего пользования регионального значения в Волосовском, Кингисеппском, Лужском и Сланцевском районахЛенинградскойобласти. ЛОТ 4.;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАЛЕНИНГРАДСКОЙОБЛАСТИ;26.12.2020;317 666 772,48 ₽;;;;;;;;;;;;;;
№ 0145200000420002185;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145200000420002185;Определение поставщика отменено;Выполнение работ по нанесению горизонтальной дорожной разметки, установке сигнальных столбиков и световозвращающих устройств на автомобильныхдорогахобщего пользования регионального значения в Бокситогорском, Лодейнопольском, Подпорожском и Тихвинском районахЛенинградскойобласти. ЛОТ 6.;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАЛЕНИНГРАДСКОЙОБЛАСТИ;26.12.2020;166 859 727,40 ₽;;;;;;;;;;;;;;
№ 0145200000420002180;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145200000420002180;Определение поставщика отменено;Выполнение работ по нанесению горизонтальной дорожной разметки, установке сигнальных столбиков и световозвращающих устройств на автомобильныхдорогахобщего пользования регионального значения в Волховском, Киришском и Кировском районахЛенинградскойобласти. ЛОТ 5.;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАЛЕНИНГРАДСКОЙОБЛАСТИ;26.12.2020;141 058 783,42 ₽;;;;;;;;;;;;;;
№ 0145200000420002184;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145200000420002184;Определение поставщика отменено;Выполнение работ по нанесению горизонтальной дорожной разметки, установке сигнальных столбиков и световозвращающих устройств на автомобильныхдорогахобщего пользования регионального значения в Выборгском и Приозерском районахЛенинградскойобласти. ЛОТ 2.;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАЛЕНИНГРАДСКОЙОБЛАСТИ;26.12.2020;340 236 241,76 ₽;;;;;;;;;;;;;;
