Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0121300035321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300035321000001;Подача заявок;...дорогобщего пользования местного значения в границах муниципального образования города-курортаПятигорска...;АДМИНИСТРАЦИЯ ГОРОДАПЯТИГОРСКА;20.01.2021;181 979 704,00 ₽;;;;;;;;;;;;;;
№ 0121300035320000371;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300035320000371;Определение поставщика завершено;"Выполнение работ по ремонтудорогобщего пользования местного значения в границах муниципального образования города-курортаПятигорска: ул. Баксанская ПК 0-ПК9+41; пос. Горячеводский, улица Лысенковская ПК 0 - ПК17+43; п. Горячеводский, ул. Луначарского ПК 0-ПК15+45;  пос. Горячеводский, улица Стопани ПК 0- ПК5+44; п. Горячеводский, ул. Молодежная ПК 0-ПК7+46;  п. Горячеводский, ул. Эльбрусская ПК 0 - ПК18+82.";АДМИНИСТРАЦИЯ ГОРОДАПЯТИГОРСКА;23.12.2020;61 518 759,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0121300035320000371;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВКАВДОРСТРОЙ-КОМПАНИ""";1 - Победитель;50 445 382,20;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОР""";2 - Второй номер;50 752 976,00;;;;;;
№ 0104300014520000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0104300014520000017;Определение поставщика завершено;Проведение работ по благоустройству дворовой территории по улицеПятигорскаяд. 1А г.п.Залукокоаже;МЕСТНАЯ АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ЗАЛУКОКОАЖЕ ЗОЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА КАБАРДИНО- БАЛКАРСКОЙ РЕСПУБЛИКИ;15.12.2020;1 595 742,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0104300014520000017;МЕСТНАЯ АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ЗАЛУКОКОАЖЕ ЗОЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА КАБАРДИНО- БАЛКАРСКОЙ РЕСПУБЛИКИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОУЛД""";;1 595 742,00;;;0707012970;;;
№ 32009717965;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009717965;Работа комиссии;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 4140/ЗКТЭ-ДЖВ/20 на право заключения договора на оказание услуг по погрузке и вывозу снега и наледи (в. Минеральные Воды,Пятигорск, Кисловодск, Ессентуки, Невинномысск, Ставрополь, Георгиевск, Прохладная, Нальчик, Владикавказ, Махачкала, Кизляр, Дербент, Грозный, Гудермес);"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";24.11.2020;1 717 075,40 ₽;;;;;;;;;;;;;;
№ 0321100019420000141;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0321100019420000141;Определение поставщика завершено;Оказание услуг по содержанию искусственных сооружений надействующей сети автомобильныхдорогобщего пользования федерального значенияна 2021-2022гг. Содержание искусственных сооружений на автомобильнойдорогеР -217 «Кавказ» автомобильнаядорогаМ - 4 «Дон» - Владикавказ - Грозный -Махачкала - граница с Азербайджанской Республикой, Обход г.Пятигорсккм 18+450– км 33+240, Кабардино-Балкарская Республика;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАВКАЗ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.11.2020;18 188 974,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0321100019420000141;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""КАВКАЗ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""";;18 188 974,00;;;6165181134;;;
№ 0121300035320000308;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300035320000308;Определение поставщика завершено;Выполнение работ по ремонтудорогобщего пользования местного значения в границах муниципального образования города-курортаПятигорска: п. Горячеводский, проспект Советской Армии ПК16+00 - ПК 20+15 (ремонт тротуара);АДМИНИСТРАЦИЯ ГОРОДАПЯТИГОРСКА;20.11.2020;664 285,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0121300035320000308;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ-ДОРСТРОЙ""";;664 285,00;;;2625070171;;;
№ 32009663876;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009663876;Закупка завершена;Строительство КЛ-0,4 кВ от РУ-0,4 кВ ТП-272 до опоры № 1, в северной части города Ессентуки, междуавтодорогой Пятигорск-Кисловодск и полосой отвода железнойдороги.Строительство ВЛ-0,4 кВ от опоры № 1 до границы земельного участка Заявителя, в северной части города Ессентуки, междуавтодорогой Пятигорск-Кисловодск и полосой отвода железнойдороги;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕССЕНТУКСКАЯ СЕТЕВАЯ КОМПАНИЯ""";10.11.2020;1 103 709,34 ₽;;;;;;;;;;;;;;
№ 0121300035320000264;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300035320000264;Определение поставщика завершено;Выполнение кадастровых работ по подготовке межевого плана для последующего осуществления государственного  кадастрового учета земельного участка, расположенного в районе садовых участков 76, 77 и 78 с/т «Отдых» (массив 11) поавтодороге«Подъезд к станции Константиновской» от Федеральной автомобильнойдорогиМ-29 «Кавказ», ориентировочной площадью 1000 кв. м для размещения объекта делового управления.;АДМИНИСТРАЦИЯ ГОРОДАПЯТИГОРСКА;29.10.2020;18 333,33 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0121300035320000264;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ПЯТИГОРСКА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЯТИГОРСКИЙ ЗЕМЕЛЬНЫЙ КОМИТЕТ""";1 - Победитель;4 858,23;Невечеря А. А.;2 - Второй номер;5 774,90;;;2632100525;;;
№ 0121300035320000236;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300035320000236;Определение поставщика завершено;"Выполнение работ по ремонтудорогобщего пользования местного значения в границах муниципального образования города-курортаПятигорска: п. Горячеводский, ул. Яблоневая км 0+150 - км 1+771; п. Горячеводский, ул. Володарского км 0+000 - км 1+126; п. Горячеводский, ул. Левадинский спуск км 0+00 - км 0+553; п. Горячеводский, ул. Прогресса км 0+000 - км 0+626";АДМИНИСТРАЦИЯ ГОРОДАПЯТИГОРСКА;06.10.2020;28 556 222,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0121300035320000236;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВКАВДОРСТРОЙ-КОМПАНИ""";1 - Победитель;26 700 067,57;Макарян С. А.;2 - Второй номер;26 842 848,68;;;2618011697;;;
№ 0121300035320000222;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300035320000222;Определение поставщика завершено;Выполнение работ по ремонту тротуаров города-курортаПятигорскапо наказам избирателей (2 очередь).;АДМИНИСТРАЦИЯ ГОРОДАПЯТИГОРСКА;15.09.2020;5 207 571,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0121300035320000222;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""";Захарченко В. В.;1 - Победитель;4 582 662,36;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОР""";2 - Второй номер;4 608 700,22;;;Да;;;
