Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0858300001821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0858300001821000002;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения в городе НовошахтинскеРостовскойобласти в 2021 году;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОШАХТИНСКА ""УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА""";15.01.2021;19 990 900,00 ₽;;;;;;;;;;;;;;
№ 0158200000521000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0158200000521000002;Подача заявок;Реконструкция участка подъезднойдорогиот пересечения магистрали № 1 «г. Волгодонск – Атомная» с ул. Мира в г. Волгодонске до въезда на территорию Волгодонской(Ростовской)АЭС (II этап);МИНИСТЕРСТВО ТРАНСПОРТАРОСТОВСКОЙОБЛАСТИ;13.01.2021;660 824 122,00 ₽;;;;;;;;;;;;;;
№ 0158200000521000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0158200000521000001;Подача заявок;Строительство автомобильнойдорогиобщего пользования регионального значения «Северный обход г.Ростова-на-Дону» на участке а/д «г.Ростов-на-Дону – сл. Родионово-Несветайская – г.Новошахтинск» – а/д «Ростов- на - Дону – Таганрог»;МИНИСТЕРСТВО ТРАНСПОРТАРОСТОВСКОЙОБЛАСТИ;13.01.2021;2 871 268 402,00 ₽;;;;;;;;;;;;;;
№ 0358300380221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300380221000002;Подача заявок;"Ремонт автомобильнойдороги""Подъезд от а/д ""г. Новочеркасск (Хотунок) - п. Багаевский"" к п. Кадамовский, Октябрьский район,Ростовскаяобласть""";КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ АДМИНИСТРАЦИИ ОКТЯБРЬСКОГО РАЙОНА;13.01.2021;20 791 693,00 ₽;;;;;;;;;;;;;;
№ 0158300020321000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300020321000006;Подача заявок;Капитальный ремонт автомобильнойдорогипо ул.Молодежная в с. Новобессергеневка Новобессергеневского сельского поселенияНеклиновского районаРостовскойобласти;АДМИНИСТРАЦИЯ НЕКЛИНОВСКОГО РАЙОНА;13.01.2021;4 525 910,00 ₽;;;;;;;;;;;;;;
№ 0158300020321000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300020321000005;Подача заявок;Капитальный ремонт автомобильнойдорогипо пер.Школьный в с. Натальевка Натальевского сельского поселения Неклиновского районаРостовскойобласти;АДМИНИСТРАЦИЯ НЕКЛИНОВСКОГО РАЙОНА;13.01.2021;2 879 400,00 ₽;;;;;;;;;;;;;;
№ 0158300020321000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300020321000004;Подача заявок;Капитальный ремонт автомобильногопроезда по ул. Островского в с. НатальевкаНатальевского сельского поселения НеклиновскогорайонаРостовскойобласти;АДМИНИСТРАЦИЯ НЕКЛИНОВСКОГО РАЙОНА;13.01.2021;3 843 040,00 ₽;;;;;;;;;;;;;;
№ 0358300077221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300077221000001;Подача заявок;Поставка шлагбаума автоматического;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ОРЛОВСКОГО РАЙОНАРОСТОВСКОЙОБЛАСТИ";12.01.2021;49 818,33 ₽;;;;;;;;;;;;;;
№ 0158300020321000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300020321000003;Подача заявок;Капитальный ремонт автомобильнойдорогипо ул.Победы в с. Андреево- Мелентьево Андреево- Мелентьевского сельского поселенияНеклиновского районаРостовскойобласти;АДМИНИСТРАЦИЯ НЕКЛИНОВСКОГО РАЙОНА;12.01.2021;10 854 170,00 ₽;;;;;;;;;;;;;;
№ 0158300020321000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300020321000002;Подача заявок;Капитальный ремонт автомобильнойдорогипо ул. Кузнечная в с. Горская ПорадаСоветинского сельского поселения Неклиновского районаРостовскойобласти;АДМИНИСТРАЦИЯ НЕКЛИНОВСКОГО РАЙОНА;12.01.2021;13 667 880,00 ₽;;;;;;;;;;;;;;
