Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0160300057921000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300057921000002;Подача заявок;Выполнение работ по очистке от снега улиц идорогна территории Горновского муниципального образования Краснопартизанского муниципального районаСаратовскойобласти;АДМИНИСТРАЦИЯ ГОРНОВСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КРАСНОПАРТИЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;19.01.2021;348 720,66 ₽;;;;;;;;;;;;;;
№ 0160300002721000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300002721000002;Подача заявок;Выполнение работ по содержанию автомобильныхдорог;"КОМИТЕТ ДОРОЖНОГО ХОЗЯЙСТВА, БЛАГОУСТРОЙСТВА И ТРАНСПОРТА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДСАРАТОВ""";18.01.2021;19 996 768,80 ₽;;;;;;;;;;;;;;
№ 0160300032721000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300032721000001;Подача заявок;Зимнее содержаниедорогместного значения;АДМИНИСТРАЦИЯ РОВЕНСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ РОВЕНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;18.01.2021;1 100 000,00 ₽;;;;;;;;;;;;;;
№ 0160300001621000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300001621000005;Подача заявок;Выполнение работ посодержанию автомобильныхдорог: автомобильнаядорога«Бобылевка- Осиновка-Борецк», автомобильнаядорога«Борецк- Константиновский;АДМИНИСТРАЦИЯ РОМАНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;15.01.2021;1 972 915,00 ₽;;;;;;;;;;;;;;
№ 0160300001621000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300001621000003;Подача заявок;Выполнение работ по очисткедорогот снегаавтотранспортом в р.п. Романовка,  пос.Красноармейский и пос. Таволжанский;АДМИНИСТРАЦИЯ РОМАНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;15.01.2021;104 672,00 ₽;;;;;;;;;;;;;;
№ 0160300001621000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300001621000002;Подача заявок;Выполнение работ по зимнему содержаниюавтомобильныхдорогобщего пользования муниципального значения в Романовском муниципальном районе;АДМИНИСТРАЦИЯ РОМАНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;15.01.2021;20 281,00 ₽;;;;;;;;;;;;;;
№ 0160300001621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300001621000001;Подача заявок;Выполнение работ по очисткедорогот снегаавтотранспортом в р.п. Романовка,  пос.Красноармейский и пос. Таволжанский;АДМИНИСТРАЦИЯ РОМАНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;15.01.2021;239 207,00 ₽;;;;;;;;;;;;;;
№ 0160300014421000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300014421000007;Подача заявок;Выполнение работ по содержаниюдорогобщего пользования в Петровском муниципальном районеСаратовскойобласти.;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;14.01.2021;4 644 066,00 ₽;;;;;;;;;;;;;;
№ 0360300026621000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0360300026621000002;Подача заявок;Зимнее содержание автомобильныхдорогв границах сельских населенных пунктов;АДМИНИСТРАЦИЯ РТИЩЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;14.01.2021;200 140,00 ₽;;;;;;;;;;;;;;
№ 0160300014421000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300014421000006;Подача заявок;Выполнение работ по содержаниюдорогобщего пользования в Петровском муниципальном районеСаратовскойобласти.;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;14.01.2021;970 711,00 ₽;;;;;;;;;;;;;;
№ 0160300009821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300009821000002;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения в границах МО г. АркадакСаратовскойобласти в зимне-весенний период 2021 г.;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АРКАДАКСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;14.01.2021;1 036 310,67 ₽;;;;;;;;;;;;;;
№ 0160300009821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300009821000001;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения в границах Аркадакского муниципального района в зимне-весенний период 2021 года.;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АРКАДАКСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;14.01.2021;1 545 270,00 ₽;;;;;;;;;;;;;;
№ 0160300016021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300016021000001;Подача заявок;Зимнее содержание автомобильныхдорогна территории Озинского муниципального районаСаратовскойобласти;АДМИНИСТРАЦИЯ ОЗИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;14.01.2021;1 000 000,00 ₽;;;;;;;;;;;;;;
№ 0160300014421000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300014421000005;Подача заявок;Выполнение работ по содержаниюдорогобщего пользования в Петровском муниципальном районеСаратовскойобласти.;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;12.01.2021;1 067 603,00 ₽;;;;;;;;;;;;;;
№ 0160300014421000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300014421000004;Подача заявок;Выполнение работ по содержаниюдорогобщего пользования в Петровском муниципальном районеСаратовскойобласти.;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;12.01.2021;776 515,00 ₽;;;;;;;;;;;;;;
№ 0160300014421000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300014421000003;Подача заявок;Выполнение работ по содержаниюдорогобщего пользования в Петровском муниципальном районеСаратовскойобласти.;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;12.01.2021;810 500,00 ₽;;;;;;;;;;;;;;
№ 0160300014421000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300014421000002;Подача заявок;Выполнение работ по содержаниюдорогобщего пользования в Петровском муниципальном районеСаратовскойобласти.;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;12.01.2021;825 001,00 ₽;;;;;;;;;;;;;;
№ 0160300014421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300014421000001;Подача заявок;Выполнение работ по содержаниюдорогобщего пользования в Петровском муниципальном районеСаратовскойобласти.;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;12.01.2021;805 590,00 ₽;;;;;;;;;;;;;;
