№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 0118300018721000051;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0118300018721000051;Подача заявок;...  работ по объекту: «Реконструкция автомобильнойдорогис устройством противооползневых мероприятий по ... +75 в Хостинском районе городаСочи» по мероприятию «Проектно-изыскательские работы ... -дорожной сети, находящейся в границахСочинскойгородской агломерации для последующего включения ...  «Безопасные и качественные автомобильныедороги»» муниципальной программы городаСочи«Дорожная деятельность на ...  образования город-курортСочи», утвержденной постановлением администрации городаСочи№3707 от 29 ...;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ГОРОД-КУРОРТСОЧИКРАСНОДАРСКОГО КРАЯ;26.02.2021;8 748 666,00 ₽;;;;;;;;;;;;;;
№ 32110031234;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110031234;Подача заявок;Оказание услуг по ремонту и техническому обслуживанию автомобилей с заменой запасных частей для нужд Черноморского отряда филиала ФГП ВО ЖДТ России на Северо-Кавказской железнойдорогев г.Сочи;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;1 264 489,20 ₽;;;;;;;;;;;;;;
№ 32110026622;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110026622;Подача заявок;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 720/ОАЭ-ДЖВ/21 на право заключения договора оказания услуг помощи и сопровождения маломобильным пассажирам (вокзалы Туапсе, Лазаревская, Лоо,Сочи, Хоста, Адлер, Краснодар - 1, Анапа, Новороссийск, Армавир-1, Горячий Ключ, Тоннельная);"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";25.02.2021;8 670 004,21 ₽;;;;;;;;;;;;;;
№ 0118300018721000043;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0118300018721000043;Подача заявок;Выполнение работ по ручной уборке улиц идорогБарановского сельского округа городаСочиво втором квартале 2021 года;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ГОРОД-КУРОРТСОЧИКРАСНОДАРСКОГО КРАЯ;24.02.2021;364 875,18 ₽;;;;;;;;;;;;;;
№ 0318100051221000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000005;Подача заявок;"Выполнение работ на объекте: ""Капитальный ремонт моста через ручей Саркизова Щель на км 14+630 автомобильнойдорогиА-147 Джубга -Сочи- граница с Республикой Абхазия, Краснодарский край""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";19.02.2021;134 385 682,00 ₽;;;;;;;;;;;;;;
№ 0318100051221000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318100051221000004;Подача заявок;"Выполнение работ по объекту: ""Капитальный ремонт водопропускной трубы на км 68+971 автомобильнойдорогиА-147 Джубга -Сочи- граница с Республикой Абхазия, Краснодарский край""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЧЕРНОМОРЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";19.02.2021;6 317 113,00 ₽;;;;;;;;;;;;;;
№ 0118300018721000026;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0118300018721000026;Подача заявок;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения в границах муниципального образования городской округ город-курортСочиКраснодарского края по мероприятию «Капитальный ремонт и ремонт автомобильныхдорогобщего пользования местного значения (включая проектно-изыскательские работы)» муниципальной программы городаСочи«Дорожная деятельность на территории муниципального образования город-курортСочи», утвержденной постановлением администрации городаСочи№3707 от 29.12.2015;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ГОРОД-КУРОРТСОЧИКРАСНОДАРСКОГО КРАЯ;15.02.2021;1 186 369,00 ₽;;;;;;;;;;;;;;
№ 0118300018721000025;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0118300018721000025;Подача заявок;Выполнение работ по проведению лабораторных испытаний дорожно-строительных материалов, в том числе готовых конструктивных элементов на автомобильныхдорогахобщего пользования местного значения в границах муниципального образования городской округ город-курортСочиКраснодарского края;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ГОРОД-КУРОРТСОЧИКРАСНОДАРСКОГО КРАЯ;15.02.2021;2 500 000,00 ₽;;;;;;;;;;;;;;
№ 0818500000821000532;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0818500000821000532;Подача заявок;Капитальный ремонт объекта: «АвтомобильнаядорогаПодъезд к с.Харциз Первый, км 0+070 - км 3+105 в городе-курортеСочи»;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";11.02.2021;575 627 884,80 ₽;;;;;;;;;;;;;;
№ 0118300018721000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0118300018721000017;Определение поставщика завершено;Выполнение работ по механизированной мойке и уборке прилотковой частидорогна территории Центрального внутригородского района муниципального образования городской округ город-курортСочиКраснодарского края;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ГОРОД-КУРОРТСОЧИКРАСНОДАРСКОГО КРАЯ;10.02.2021;4 390 471,18 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0118300018721000017;АДМИНИСТРАЦИЯ ЦЕНТРАЛЬНОГО ВНУТРИГОРОДСКОГО РАЙОНА МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ГОРОД-КУРОРТ СОЧИ КРАСНОДАРСКОГО КРАЯ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЛАГОУСТРОЙСТВО""";;4 390 471,18;;;;;;
№ 0118300018721000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0118300018721000002;Определение поставщика завершено;Содержание и обслуживание гидротехнических сооружений, санитарное содержание подземных пешеходных переходов, мойкадороги тротуаров в 2021г.;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ГОРОД-КУРОРТСОЧИКРАСНОДАРСКОГО КРАЯ;22.01.2021;6 489 950,84 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0118300018721000002;АДМИНИСТРАЦИЯ ХОСТИНСКОГО ВНУТРИГОРОДСКОГО РАЙОНА ГОРОДА СОЧИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ""ЮГТЕХСТРОЙ""";1 - Победитель;4 867 462,84;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТАР""";2 - Второй номер;4 899 912,60;31.12.2021;16.02.2021;2320138001;354000, КРАЙ КРАСНОДАРСКИЙ 23, Г СОЧИ, УЛ ПЛАСТУНСКАЯ (ЦЕНТРАЛЬНЫЙ Р-Н), 52 М;субъект малого предпринимательства;
