Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0164300038821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300038821000002;Подача заявок;Выполнение работ по содержанию автомобильных (муниципальных)дорогобщего пользования Мичуринского районаТамбовскойобласти протяженностью 67,75 км в зимний период;АДМИНИСТРАЦИЯ МИЧУРИНСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;15.01.2021;878 574,23 ₽;;;;;;;;;;;;;;
№ 0164300038821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300038821000001;Подача заявок;Выполнение работ по содержанию автомобильных (муниципальных)дорогобщего пользования Мичуринского районаТамбовскойобласти протяженностью 111,83 км в зимний период;АДМИНИСТРАЦИЯ МИЧУРИНСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;15.01.2021;1 487 968,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000002;Подача заявок;выполнение комплекса работ по содержанию муниципальныхдорогобщего пользования  Моршанского районаТамбовскойобласти;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;15.01.2021;5 616 506,07 ₽;;;;;;;;;;;;;;
№ 0364300030621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0364300030621000001;Подача заявок;Содержание автомобильныхдорогобщего пользования муниципального значения г. МоршанскаТамбовскойобласти.;"""МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ ЖИЛИЩНО-КОММУНАЛЬНОГО КОМПЛЕКСА И СОЦИАЛЬНЫХ ИНВЕСТИЦИЙ Г. МОРШАНСКА""";14.01.2021;6 400 500,00 ₽;;;;;;;;;;;;;;
№ 0348100042420000141;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100042420000141;Определение поставщика завершено;...  сооружений на действующей сети автомобильныхдорогобщего пользования федерального значения. ...  на км 77+848 АвтомобильнаядорогаМ-5 «Урал» Москва - Рязань ...  Р-22 «Каспий» автомобильнаядорогаМ-4 «Дон» -Тамбов-Волгоград - Астрахань, Московская область ...  65+352 (наддорогойпринадлежности) АвтомобильнаядорогаМ-2 «Крым ...;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;133 092 548,04 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0348100042420000141;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКАЯ ЗАЩИТА""";;133 092 548,04;;;;;;
№ 0155200002220000900;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0155200002220000900;Подача заявок;Разработка проектной документации на ремонт автомобильнойдороги«г.Тамбов– г. Пенза» - г. Белинский – р.п. Тамала» – с. Козловка» км 0+000 – км 6+600 Белинского района Пензенской области;УПРАВЛЕНИЕ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ И ЗАКУПКАМ ПЕНЗЕНСКОЙ ОБЛАСТИ;25.12.2020;447 936,00 ₽;;;;;;;;;;;;;;
№ 0164300010220000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300010220000008;Подача заявок;Выполнение работ по содержанию автомобильныхдорогс  твердым покрытием Мордовского районаТамбовскойобласти в состоянии, обеспечивающем безопасность движения автомобильныхдорог;АДМИНИСТРАЦИЯ МОРДОВСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;22.12.2020;149 827,00 ₽;;;;;;;;;;;;;;
№ 0864500000220004530;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0864500000220004530;Определение поставщика завершено;Текущий ремонт дорожного покрытия при подъезде к кладбищу;"ТАМБОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ПО ОРГАНИЗАЦИИ ЗАКУПОК""";21.12.2020;794 486,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0864500000220004530;АДМИНИСТРАЦИЯ ДМИТРИЕВСКОГО ПОССОВЕТА НИКИФОРОВСКОГО РАЙОНА ТАМБОВСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОГИ 68""";1 - Победитель;528 333,12;Адамян Д. М.;2 - Второй номер;532 305,56;;;;;;
№ 0164200003020003840;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003020003840;Определение поставщика завершено;Благоустройство дворовой территории многоквартирного дома по ул. Пролетарская, д. 8 в г. МоршанскеТамбовскойобласти;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;17.12.2020;1 350 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0164200003020003840;"""МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ ЖИЛИЩНО-КОММУНАЛЬНОГО КОМПЛЕКСА И СОЦИАЛЬНЫХ ИНВЕСТИЦИЙ Г. МОРШАНСКА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТСТРОЙ""";1 - Победитель;1 005 750,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНСТРОЙХОЛДИНГ""";2 - Второй номер;1 012 500,00;;;;;;
№ 0355100004520000124;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0355100004520000124;Подача заявок;"...  учета интенсивности движения на автомобильныхдорогахобщегопользования федерального значения М ...  – км 47+200; Р-208Тамбов- Пенза на участке  км 124 ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""БОЛЬШАЯ ВОЛГА"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";17.12.2020;63 461 336,00 ₽;;;;;;;;;;;;;;
№ 0355100004520000123;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0355100004520000123;Подача заявок;"...  элементов линий электроосвещения на автомобильныхдорогахобщего пользования федерального значения   М ...  – км 47+200; Р-208Тамбов- Пенза на участке  км 124 ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""БОЛЬШАЯ ВОЛГА"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";17.12.2020;215 329 181,00 ₽;;;;;;;;;;;;;;
№ 0354100008420000111;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0354100008420000111;Определение поставщика завершено;"...  по повышению уровня обустройства автомобильныхдорогфедерального значения. Расходы на ...  автомобильныхдорогфедерального значения. Устройство стационарного электрического освещения на автомобильнойдороге...  Р-298 Курск - Воронеж - автомобильнаядорогаР-22 ""Каспий"" на участках  ...  Бродовое), на автомобильнойдорогеР-193 Воронеж -Тамбовна участке км ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";15.12.2020;3 120 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0354100008420000111;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР - ДОРСЕРВИС""";;3 120 000,00;;;;;;
№ 0164300018320000036;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300018320000036;Определение поставщика завершено;Зимнее содержанию автомобильныхдорогобщего пользования муниципального (районного) значения Первомайского районаТамбовскойобласти;АДМИНИСТРАЦИЯ ПЕРВОМАЙСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;14.12.2020;3 413 658,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0164300018320000036;АДМИНИСТРАЦИЯ ПЕРВОМАЙСКОГО РАЙОНА ТАМБОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАМБОВИНВЕСТСТРОЙ""";;3 413 658,00;;;;;;
№ 0164300021920000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300021920000006;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогместного значения на территории Умётского поссовета Умётского районаТамбовскойобласти протяженностью 50,627 км в зимний период 2021 года;АДМИНИСТРАЦИЯ УМЁТСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;11.12.2020;593 601,57 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0164300021920000006;АДМИНИСТРАЦИЯ УМЁТСКОГО РАЙОНА ТАМБОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНИК-ПЛЮС""";;593 601,57;;;;;;
№ 0864500000220004419;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0864500000220004419;Определение поставщика завершено;Благоустройство дворовой территории многоквартирного дома по ул. Куйбышева, д. 58 в г. МоршанскеТамбовскойобласти;"ТАМБОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ПО ОРГАНИЗАЦИИ ЗАКУПОК""";11.12.2020;572 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0864500000220004419;"""МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ ЖИЛИЩНО-КОММУНАЛЬНОГО КОМПЛЕКСА И СОЦИАЛЬНЫХ ИНВЕСТИЦИЙ Г. МОРШАНСКА""";Анисимов В. В.;1 - Победитель;386 100,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТСТРОЙ""";2 - Второй номер;388 960,00;;;;;;
№ 0164300034120000050;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300034120000050;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорог, тротуаров в городе КотовскеТамбовскойобласти;АДМИНИСТРАЦИЯ ГОРОДА КОТОВСКАТАМБОВСКОЙОБЛАСТИ;09.12.2020;6 547 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0164300034120000050;АДМИНИСТРАЦИЯ ГОРОДА КОТОВСКА ТАМБОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЕ ХОЗЯЙСТВО""";;6 547 000,00;;;;;;
№ 0360200054020000139;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0360200054020000139;Определение поставщика завершено;Ремонт автомобильнойдороги«Аркадак - Соцземледельский - автомобильнаядорога«Р-22 «Каспий» автомобильнаядорогаМ-4 «Дон» -Тамбов- Волгоград - Астрахань, подъезд к  г. Саратов» на участке км 10+200 – км 15+200 в Аркадакском районе Саратовской области;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА""";09.12.2020;95 322 316,80 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0360200054020000139;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙ""";1 - Победитель;71 777 704,55;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РД-ГРУПП""";2 - Второй номер;75 304 630,02;;;;;;
№ 0164300014120000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300014120000013;Определение поставщика завершено;Выполнение работ  по содержанию автомобильныхдорогобщего пользования муниципального значения Пичаевского районаТамбовскойобласти общей протяженностью 95,171 км;АДМИНИСТРАЦИЯ ПИЧАЕВСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;09.12.2020;1 050 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0164300014120000013;АДМИНИСТРАЦИЯ ПИЧАЕВСКОГО РАЙОНА ТАМБОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ ""ПИЧАЕВСКОЕ""";;1 050 000,00;;;;;;
№ 0164300014120000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300014120000012;Определение поставщика завершено;Выполнение работ  по содержанию автомобильныхдорогобщего пользования муниципального значения Пичаевского районаТамбовскойобласти общей протяженностью 100,639 км;АДМИНИСТРАЦИЯ ПИЧАЕВСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;09.12.2020;1 550 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0164300014120000012;АДМИНИСТРАЦИЯ ПИЧАЕВСКОГО РАЙОНА ТАМБОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИЧАЕВО-АВТОДОР""";;1 550 000,00;;;;;;
№ 0164300036620000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300036620000003;Определение поставщика завершено;Выполнение работ по содержанию  автомобильныхдороги тротуаров в зимний период на территории Ржаксинского поссовета Ржаксинского районаТамбовскойобласти;АДМИНИСТРАЦИЯ РЖАКСИНСКОГО ПОССОВЕТА РЖАКСИНСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;08.12.2020;990 464,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0164300036620000003;АДМИНИСТРАЦИЯ РЖАКСИНСКОГО ПОССОВЕТА РЖАКСИНСКОГО РАЙОНА ТАМБОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМЭНЕРГОСЕРВИС""";;990 464,00;;;;;;
