Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 32009859526;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009859526;Работа комиссии;Выполнение работ по разработке проектно-сметной документации на капитальный ремонт МКД по адресам: г. Москва,Череповецкаяул., д.7,Череповецкаяул., д.9/17;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АВТОМОБИЛЬНЫЕДОРОГИСЕВЕРО-ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА""";28.12.2020;3 397 390,38 ₽;;;;;;;;;;;;;;
№ 0171300003920000091;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171300003920000091;Определение поставщика завершено;Выполнение работ по зимнему содержанию автомобильнойдороги«Сергиев Посад-Калязин-Рыбинск-Череповец» - пос. ГЭС (до границ г. Рыбинск) общего пользования местного значения, находящейся вне границ населенных пунктов, относящихся к собственности Рыбинского муниципального района и проходящей по территории Огарковского СП Рыбинского муниципального района Ярославской области.;АДМИНИСТРАЦИЯ РЫБИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;15.12.2020;700 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0171300003920000091;УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ТРАНСПОРТА И СВЯЗИ АДМИНИСТРАЦИИ РЫБИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМАРИС""";1 - Победитель;496 500,00;Новиков Е. Н.;2 - Второй номер;500 000,00;;;;;;
№ 32009787736;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009787736;Закупка завершена;Оказание услуг по проведению предрейсовых медицинских осмотров (водителей) структурных подразделений филиала ФГП ВО ЖДТ России на Северной железнойдорогев г.Череповец;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";10.12.2020;31 164,00 ₽;;;;;;;;;;;;;;
№ 0130200002420004021;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0130200002420004021;Определение поставщика завершено;Ремонт автомобильнойдорогиНовинка-Нестерово вЧереповецкомрайоне Вологодской области;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ВОЛОГОДСКОЙ ОБЛАСТИ;08.12.2020;146 323 010,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0130200002420004021;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛОГОДСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ВОЛОГОДСКОЙ ОБЛАСТИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕРЕПОВЕЦДОРСТРОЙ""";1 - Победитель;145 591 394,95;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ВЕКТОР""";2 - Второй номер;145 591 394,96;;;;;;
№ 0171200001920002444;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171200001920002444;Определение поставщика завершено;Разработка проектной документации на капитальный ремонт водопропускных труб на автомобильнойдорогеСергиев Посад - Калязин-Рыбинск-Череповец«Р-104» в Пошехонском муниципальном районе Ярославской области;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯРОСЛАВСКОЙ ОБЛАСТИ;01.12.2020;1 741 370,74 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0171200001920002444;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЯРОСЛАВСКОЙ ОБЛАСТИ ""ЯРОСЛАВСКАЯ ОБЛАСТНАЯ ДОРОЖНАЯ СЛУЖБА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ДОРОГА""";1 - Победитель;1 488 872,09;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСЕРВИС""";2 - Второй номер;1 497 578,94;;;;;;
№ 0171200001920002434;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171200001920002434;Определение поставщика завершено;Разработка сметной документации на ремонт участка автомобильнойдорогиСергиев Посад – Калязин – Рыбинск –Череповец«Р-104» в Пошехонском муниципальном районе Ярославской области;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯРОСЛАВСКОЙ ОБЛАСТИ;01.12.2020;1 892 386,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0171200001920002434;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЯРОСЛАВСКОЙ ОБЛАСТИ ""ЯРОСЛАВСКАЯ ОБЛАСТНАЯ ДОРОЖНАЯ СЛУЖБА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ДОРОГА""";1 - Победитель;873 137,01;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТПРОФИ""";2 - Второй номер;882 598,94;;;;;;
№ 0130300023520000099;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0130300023520000099;Определение поставщика завершено;Содержание автомобильныхдороги искусственных сооруженийЧереповецкогомуниципального района;АДМИНИСТРАЦИЯЧЕРЕПОВЕЦКОГОМУНИЦИПАЛЬНОГО  РАЙОНА;30.11.2020;21 367 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0130300023520000099;АДМИНИСТРАЦИЯ ЧЕРЕПОВЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕРЕПОВЕЦДОРСТРОЙ""";;21 367 000,00;;;;;;
№ 0130300023520000096;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0130300023520000096;Определение поставщика завершено;Благоустройство дворовых и общественных территорий вЧереповецкоммуниципальном районе;АДМИНИСТРАЦИЯЧЕРЕПОВЕЦКОГОМУНИЦИПАЛЬНОГО  РАЙОНА;24.11.2020;6 217 063,63 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0130300023520000096;АДМИНИСТРАЦИЯ ЧЕРЕПОВЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦТЕХСТРОЙ""";;6 217 063,63;;;;;;
№ 0130200002420003511;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0130200002420003511;Определение поставщика завершено;Поставка автомобильного бензина и дизельного топлива на 2021 год (Область);КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ВОЛОГОДСКОЙ ОБЛАСТИ;13.11.2020;164 931 087,82 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0130200002420003511;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""СЯМЖЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВОЛОГОДСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ПО ОХРАНЕ И ВОСПРОИЗВОДСТВУ ОБЪЕКТОВ ЖИВОТНОГО МИРА""";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""БАБУШКИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ БАБУШКИНСКОГО РАЙОНА""";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ АГРОПРОМЫШЛЕННОГО КОМПЛЕКСА ВОЛОГОДСКОЙ ОБЛАСТИ ""ВОЛОГОДСКИЙ ИНФОРМАЦИОННО - КОНСУЛЬТАЦИОННЫЙ ЦЕНТР АГРОПРОМЫШЛЕННОГО КОМПЛЕКСА""";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ВОЛОГОДСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""ВОЛОГОДСКИЙ ОБЛАСТНОЙ ЦЕНТР ОХРАНЫ ЗДОРОВЬЯ СЕМЬИ И РЕПРОДУКЦИИ""";;;;;;
№ 0171200001920002048;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171200001920002048;Определение поставщика завершено;Устранение деформаций и повреждений в покрытиях горячей асфальтобетонной смесью на автомобильнойдороге«Сергиев Посад – Калязин – Рыбинск –Череповец» - пос. ГЭС (до границ г. Рыбинск).;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯРОСЛАВСКОЙ ОБЛАСТИ;02.11.2020;1 888 687,42 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0171200001920002048;УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ТРАНСПОРТА И СВЯЗИ АДМИНИСТРАЦИИ РЫБИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЫБИНСКИЙ ПРОЕКТНЫЙ ИНСТИТУТ ""ЖИЛКОММУНПРОЕКТ""";1 - Победитель;1 784 809,58;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ОЛИМП-СТРОЙ""";2 - Второй номер;1 794 253,02;;;;;;
