Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32109955995;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109955995;Подача заявок;Выполнение работ по содержанию автомобильныхдороги элементов обустройства автомобильныхдорог(ручная уборка) на территории Автозаводского, Ленинского, Московского, Советского и Нижегородского районов г. Н.Новгорода;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДАНИЖНЕГО НОВГОРОДА""РЕМОНТ И ЭКСПЛУАТАЦИЯДОРОГ""";03.02.2021;7 073 292,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000007;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000007;Подача заявок;"Осуществление строительного контроля за объектом: Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Устройство стационарного электрического освещения на автомобильнойдорогеМ-7 ""Волга"" Москва - Владимир -Нижний Новгород- Казань - Уфа на участках км 788+300 - км 794+650, км 796+600 - км 801+900, км 802+100 - км 806+400, км 809+300 - км 813+800, км 817+100 - км 826+930, Республика Татарстан";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.02.2021;12 666 140,00 ₽;;;;;;;;;;;;;;
№ 0301100012721000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0301100012721000002;Подача заявок;"Содержание действующей сетиавтомобильныхдорогобщего пользования федерального значения ( ...  «Устройство слоевизноса на автомобильнойдорогеА-305 Оренбург- Илек-граница ... ; Устройство слоев износа на автомобильнойдорогеА-305 Оренбург-Илек-граница ...  износа на автомобильнойдорогеМ-7 ""Волга"" Москва – Владимир –Нижний Новгород– Казань – Уфа ... ; Устройство слоев износа на автомобильнойдорогеР-240 Уфа -Оренбург на ... ;Устройство слоев износа на автомобильнойдорогеР-239 Казань - Оренбург -Акбулак ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ПРИУРАЛЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА """;02.02.2021;360 895 796,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000006;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000006;Подача заявок;"Осуществление строительного контроля за объектом: Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Строительство пешеходных переходов в разных уровнях на км 617+700, км 619+300 автомобильнойдорогиМ-7 ""Волга"" Москва -Владимир -Нижний Новгород- Казань - Уфа, Чувашская Республика";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.02.2021;1 914 230,00 ₽;;;;;;;;;;;;;;
№ 0315100000321000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0315100000321000002;Подача заявок;Строительный контроль по объекту: «Ремонт автомобильнойдорогиМ-7 «Волга» Москва – Владимир –Нижний Новгород– Казань – Уфа, подъезд к г. Пермь, км 477+644 – км 509+867, Пермский край»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ПРИКАМЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.02.2021;21 296 448,00 ₽;;;;;;;;;;;;;;
№ 0315100000321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0315100000321000001;Подача заявок;Выполнение работ по объекту: «Установка элементов обустройства автомобильныхдорогобщего пользования федерального значения. Установка светофорного объекта на км 159+658 автомобильнойдорогиобщего пользования федерального значения М-7 «Волга» Москва – Владимир –Нижний Новгород– Казань – Уфа, подъезд к городам Ижевск и Пермь, Удмуртская Республика»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ПРИКАМЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.02.2021;1 900 000,00 ₽;;;;;;;;;;;;;;
№ 0348100006021000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100006021000003;Подача заявок;Выполнение проектно-изыскательских работ по объекту: «Ремонт моста через реку Аморда на км25+913 автомобильнойдорогиР-178 Саранск -Сурское - Ульяновск, Республика Мордовия»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА -НИЖНИЙ НОВГОРОДФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.01.2021;1 950 000,00 ₽;;;;;;;;;;;;;;
№ 0348100006021000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100006021000002;Подача заявок;"Выполнение проектно-изыскательских работ по объекту: «Ремонтмоста через реку Агра на км 243+020 автомобильнойдорогиМ-7 ""Волга"" Москва -Владимир -Нижний Новгород- Казань - Уфа, Владимирская область»";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА -НИЖНИЙ НОВГОРОДФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.01.2021;1 550 000,00 ₽;;;;;;;;;;;;;;
№ 0348100006021000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100006021000001;Подача заявок;"Выполнение проектно-изыскательских работ по объекту: «Капитальныйремонт моста через реку Ворша км 161+670 автомобильнойдорогиМ-7 ""Волга""Москва – Владимир -Нижний Новгород- Казань - Уфа, Владимирская область»";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА -НИЖНИЙ НОВГОРОДФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.01.2021;5 199 427,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000003;Подача заявок;"Осуществление строительного контроля  за объектом: Строительство и реконструкция участков автомобильнойдорогиМ-7 ""Волга"" Москва - Владимир -Нижний Новгород- Казань - Уфа. Строительство моста через реку Сура на км 582+300 автомобильнойдорогиМ-7 ""Волга"" Москва - Владимир  -Нижний Новгород- Казань - Уфа, Чувашская Республика (2-ая очередь строительства).";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.01.2021;203 501 660,00 ₽;;;;;;;;;;;;;;
